time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-1019.829,158.128,-121.098,1039.096,127.45,78.95
1.03,-984.8,159.129,-119.097,1004.658,126.81,78.59
1.06,-1001.814,172.14,-120.098,1023.566,124.9,78.17
1.09,-993.807,184.15,-118.096,1017.601,122.67,77.59
1.12,-996.81,179.146,-134.109,1021.62,126.82,77.35
1.15,-1003.816,164.133,-157.128,1029.211,135.55,77.63
1.17,-1013.824,143.116,-152.124,1035.115,133.56,78.98
1.2,-1020.829,129.105,-112.091,1035.048,130.97,80.49
1.23,-988.803,169.137,-100.081,1008.145,120.61,78.76
1.26,-999.812,192.156,-85.069,1021.658,113.88,78.13
1.29,-1013.824,168.137,-73.059,1030.265,114.75,81.12
1.31,-981.798,134.109,-97.079,995.659,125.9,80.43
1.34,-981.798,121.098,-131.107,997.888,137.27,79.7
1.37,-973.791,127.103,-150.122,993.459,139.75,78.58
1.4,-977.794,127.103,-144.117,996.497,138.59,78.88
1.43,-987.803,149.121,-131.107,1007.561,131.32,78.63
1.45,-984.8,136.111,-138.112,1003.709,135.42,78.86
1.48,-1004.816,115.094,-122.099,1018.73,140.1,80.91
1.51,-994.808,106.086,-149.121,1011.501,145.8,79.31
1.54,-1007.819,102.083,-158.128,1025.244,147.15,79.42
1.57,-1023.832,101.082,-119.097,1035.68,139.68,81.33
1.59,-1024.833,82.067,-99.081,1032.877,140.37,82.84
1.62,-1019.829,96.078,-110.089,1030.243,131.81,80.81
1.65,-1012.823,120.098,-115.094,1026.392,133.78,80.67
1.68,-1015.825,100.081,-119.097,1027.668,139.96,81.29
1.71,-1015.825,103.084,-110.089,1026.96,136.88,81.56
1.73,-1003.816,113.092,-108.088,1015.932,133.7,81.14
1.76,-1015.825,103.084,-123.1,1028.436,140.06,81.02
1.79,-1009.82,73.059,-141.115,1022.247,152.63,81.06
1.82,-1000.813,83.067,-152.124,1015.711,145.9,79.17
1.85,-1017.827,112.091,-128.104,1031.963,138.81,80.51
1.87,-1010.821,106.086,-113.092,1022.645,136.83,81.28
1.9,-1015.825,108.088,-110.089,1027.474,135.53,81.36
1.93,-1019.829,110.089,-95.077,1030.15,130.82,81.88
1.96,-1012.823,124.101,-89.072,1024.278,125.67,81.42
1.98,-999.812,131.107,-91.074,1012.476,124.79,80.93
2.01,-992.807,150.122,-86.07,1007.775,117.39,79.33
2.04,-983.799,163.133,-95.077,1001.755,119.97,79.16
2.07,-981.798,167.136,-80.065,999.135,115.6,79.31
2.1,-990.805,160.13,-102.083,1008.84,122.52,79.15
2.12,-992.807,153.124,-78.063,1007.574,117.01,80.18
2.15,-1001.814,148.12,-28.023,1013.092,84.92,82.44
2.18,-1018.828,161.131,6.005,1031.508,87.87,81.01
2.21,-1018.828,193.157,3.002,1036.981,89.11,79.26
2.24,-995.809,182.148,-24.02,1012.616,97.51,79.55
2.26,-1029.837,171.139,-58.047,1045.572,108.74,80.05
2.29,-1035.842,178.145,-42.034,1051.889,103.28,79.67
2.32,-996.81,174.141,-44.036,1012.864,104.19,79.79
2.35,-1014.825,181.147,-36.029,1031.495,101.25,79.69
2.38,-1006.818,193.157,-45.037,1026.168,103.12,78.86
2.4,-1002.815,182.148,-33.027,1019.758,100.28,79.54
2.43,-1013.824,163.133,-28.023,1027.247,99.75,80.73
2.46,-1009.82,161.131,-3.002,1022.599,91.07,80.93
2.49,-1012.823,149.121,19.015,1023.918,78.42,83.02
2.52,-1024.833,125.102,26.021,1032.768,78.25,82.89
2.54,-1025.833,149.121,23.019,1036.871,81.22,81.63
2.57,-1011.822,147.12,7.006,1022.486,87.27,81.72
2.6,-1009.82,141.115,15.012,1019.743,83.93,82
2.63,-1020.829,119.097,18.015,1027.911,81.4,83.27
2.66,-1024.833,103.084,31.025,1030.471,73.25,84
2.68,-1023.832,94.076,40.033,1028.924,66.95,84.3
2.71,-1000.813,111.09,-59.048,1008.69,117.99,82.84
2.74,-991.806,120.098,-75.061,1001.866,122.01,81.87
2.77,-986.802,85.069,-94.076,994.92,137.88,82.68
2.79,-995.809,58.047,-89.072,1001.468,146.91,83.91
2.82,-994.808,29.024,-74.06,997.983,162.03,85.53
2.85,-998.812,52.042,-82.067,1003.528,147.62,84.44
2.88,-1005.817,94.076,-75.061,1012.992,128.59,83.18
2.91,-1011.822,101.082,-56.046,1018.402,119.01,83.48
2.93,-1013.824,97.079,-62.05,1020.349,122.59,83.52
2.96,-1020.829,98.08,-67.054,1027.72,128.91,84.08
2.99,-1028.836,83.067,-69.056,1034.491,129.74,84.01
3.02,-1016.826,73.059,-73.059,1022.062,135,84.2
