time_s,pressure_Pa
0,361.39
0.102,363.49
0.201,352.97
0.303,361.39
0.402,355.07
0.504,361.39
0.602,352.97
0.705,361.39
0.807,352.97
0.905,355.07
1.008,352.97
1.106,359.28
1.208,352.97
1.311,359.28
1.409,352.97
1.511,357.18
1.61,350.87
1.712,355.07
1.814,350.87
1.913,357.18
2.015,357.18
2.113,355.07
2.216,359.28
2.318,361.39
2.416,352.97
2.519,361.39
2.617,355.07
2.719,363.49
2.822,352.97
2.92,361.39
3.023,352.97
3.121,361.39
3.223,352.97
3.326,361.39
3.424,352.97
3.527,361.39
3.625,352.97
3.727,359.28
3.825,352.97
3.928,357.18
4.03,352.97
4.129,357.18
4.231,350.87
4.329,357.18
4.432,352.97
4.534,357.18
4.632,350.87
4.735,359.28
4.833,355.07
4.935,357.18
5.038,352.97
5.136,359.28
5.238,352.97
5.337,361.39
5.439,352.97
5.542,359.28
5.64,361.39
5.742,355.07
5.841,361.39
5.943,352.97
6.045,363.49
6.144,359.28
6.246,363.49
6.344,357.18
6.447,361.39
6.549,357.18
6.648,361.39
6.75,359.28
6.848,363.49
6.951,357.18
7.049,363.49
7.151,359.28
7.254,361.39
7.352,357.18
7.454,359.28
7.553,357.18
7.655,363.49
7.758,357.18
7.856,363.49
7.958,361.39
8.057,365.6
8.159,361.39
8.261,367.7
8.36,363.49
8.462,367.7
8.56,365.6
8.663,367.7
8.765,363.49
8.863,372.96
8.966,365.6
9.064,375.06
9.166,367.7
9.269,377.17
9.367,367.7
9.47,377.17
9.568,369.8
9.67,377.17
9.773,367.7
9.871,372.96
9.973,367.7
10.072,372.96
10.174,367.7
10.272,375.06
10.375,369.8
10.477,375.06
10.575,367.7
10.678,377.17
10.776,369.8
10.879,379.27
10.981,372.96
11.079,379.27
11.182,379.27
11.28,372.96
11.382,381.38
11.485,375.06
11.583,382.43
11.685,377.17
11.784,385.58
11.886,381.38
11.988,387.69
12.087,381.38
12.189,389.79
12.288,385.58
12.39,389.79
12.492,387.69
12.591,391.9
12.693,389.79
12.791,394
12.894,389.79
12.996,396.11
13.094,394
13.197,399.26
13.295,394
13.397,401.37
13.496,396.11
13.598,401.37
13.701,399.26
13.801,403.47
13.901,405.57
14,407.68
14.102,405.57
14.204,415.04
14.303,410.83
14.405,417.15
14.503,412.94
14.606,419.25
14.708,412.94
14.806,421.36
14.909,417.15
15.007,424.51
15.109,419.25
15.212,426.62
15.31,419.25
15.413,428.72
15.511,419.25
15.613,430.82
15.716,426.62
15.814,431.88
15.916,430.82
16.015,431.88
16.117,428.72
16.219,435.03
16.318,431.88
16.42,441.34
16.518,437.14
16.621,441.34
16.723,445.55
16.822,439.24
16.925,445.55
17.022,435.03
17.125,443.45
17.223,435.03
17.325,445.55
17.428,435.03
17.526,445.55
17.628,439.24
17.727,443.45
17.829,437.14
17.931,443.45
18.03,431.88
18.132,439.24
18.231,435.03
18.333,439.24
18.435,431.88
18.534,437.14
18.636,428.72
18.734,435.03
18.837,426.62
18.939,435.03
19.038,435.03
19.14,428.72
19.238,431.88
19.341,426.62
19.444,435.03
19.541,424.51
19.644,435.03
19.742,424.51
19.844,428.72
19.947,421.36
20.045,428.72
20.147,419.25
20.246,424.51
20.348,419.25
20.447,426.62
20.549,419.25
20.651,424.51
20.749,419.25
20.852,424.51
20.951,415.04
21.053,421.36
21.155,415.04
21.253,421.36
21.356,412.94
21.454,419.25
21.556,412.94
21.659,419.25
21.757,417.15
21.859,410.83
21.958,417.15
22.06,410.83
22.162,412.94
22.261,405.57
22.363,407.68
22.462,415.04
22.564,405.57
22.666,412.94
22.765,405.57
22.867,410.83
22.966,405.57
23.068,412.94
23.17,403.47
23.268,412.94
23.371,405.57
23.469,410.83
23.572,403.47
23.67,401.37
23.772,405.57
23.875,399.26
23.973,407.68
24.075,399.26
24.174,403.47
24.276,399.26
24.378,405.57
24.477,405.57
24.579,396.11
24.678,403.47
24.782,396.11
24.882,403.47
24.98,391.9
25.083,401.37
25.181,394
25.284,401.37
25.386,391.9
25.484,399.26
25.587,394
25.685,399.26
25.788,391.9
25.89,399.26
25.988,389.79
26.09,396.11
26.189,387.69
26.291,391.9
26.393,389.79
26.492,391.9
26.594,389.79
26.693,394
26.795,385.58
26.893,391.9
26.996,387.69
27.098,391.9
27.196,391.9
27.299,385.58
27.397,387.69
27.499,382.43
27.602,385.58
27.7,382.43
27.802,387.69
27.901,387.69
28.003,382.43
28.106,387.69
28.204,381.38
28.306,387.69
28.405,379.27
28.507,385.58
28.609,379.27
28.708,382.43
28.81,375.06
28.908,381.38
29.011,372.96
29.113,377.17
29.211,372.96
29.314,377.17
29.413,369.8
29.514,372.96
29.617,365.6
29.715,369.8
29.818,365.6
29.917,369.8
30.018,363.49
30.117,369.8
30.219,363.49
30.321,367.7
30.42,363.49
30.522,369.8
30.62,363.49
30.723,369.8
30.825,363.49
30.923,367.7
31.026,363.49
31.124,367.7
31.227,361.39
31.329,365.6
31.427,361.39
31.53,363.49
31.628,361.39
31.73,363.49
31.833,359.28
31.931,363.49
32.034,357.18
32.132,363.49
32.234,357.18
32.336,363.49
32.435,357.18
32.537,363.49
32.636,359.28
32.738,363.49
32.84,357.18
32.939,363.49
33.041,357.18
33.139,359.28
33.242,355.07
33.34,359.28
33.442,361.39
33.545,352.97
