time_s,pressure_Pa
0,240.4
0.102,235.14
0.2,240.4
0.303,235.14
0.401,238.29
0.504,230.93
0.606,235.14
0.704,238.29
0.807,233.03
0.905,238.29
1.007,233.03
1.11,238.29
1.208,230.93
1.31,235.14
1.409,230.93
1.511,233.03
1.614,228.83
1.712,235.14
1.814,228.83
1.913,233.03
2.015,228.83
2.117,233.03
2.216,230.93
2.318,235.14
2.416,226.72
2.519,233.03
2.617,230.93
2.719,233.03
2.822,226.72
2.92,233.03
3.023,226.72
3.121,235.14
3.223,226.72
3.326,230.93
3.424,226.72
3.526,233.03
3.625,226.72
3.727,230.93
3.829,228.83
3.928,233.03
4.03,226.72
4.128,235.14
4.231,226.72
4.333,226.72
4.431,230.93
4.534,226.72
4.632,233.03
4.735,233.03
4.837,226.72
4.935,233.03
5.038,226.72
5.136,233.03
5.238,226.72
5.341,233.03
5.439,226.72
5.541,233.03
5.64,224.62
5.742,233.03
5.84,224.62
5.944,228.83
6.045,226.72
6.144,230.93
6.258,226.72
6.344,233.03
6.449,226.72
6.549,230.93
6.65,226.72
6.75,228.83
6.848,224.62
6.95,233.03
7.053,226.72
7.151,228.83
7.254,224.62
7.352,230.93
7.454,228.83
7.557,230.93
7.655,224.62
7.757,233.03
7.856,226.72
7.958,230.93
8.06,226.72
8.159,230.93
8.261,226.72
8.359,230.93
8.462,226.72
8.564,226.72
8.663,226.72
8.765,233.03
8.863,228.83
8.966,233.03
9.064,228.83
9.166,233.03
9.269,226.72
9.367,233.03
9.469,226.72
9.568,233.03
9.67,228.83
9.772,233.03
9.871,226.72
9.973,233.03
10.071,226.72
10.174,233.03
10.276,226.72
10.375,228.83
10.477,233.03
10.575,226.72
10.678,230.93
10.78,230.93
10.878,233.03
10.981,228.83
11.079,235.14
11.182,228.83
11.284,235.14
11.382,230.93
11.484,235.14
11.583,230.93
11.685,235.14
11.783,228.83
11.886,235.14
11.988,230.93
12.087,235.14
12.189,228.83
12.287,235.14
12.39,228.83
12.492,238.29
12.59,228.83
12.693,238.29
12.791,228.83
12.893,238.29
12.996,233.03
13.094,240.4
13.197,233.03
13.295,235.14
13.397,230.93
13.5,238.29
13.598,230.93
13.7,238.29
13.799,233.03
13.901,238.29
14.004,230.93
14.102,235.14
14.204,233.03
14.303,240.4
14.405,233.03
14.507,238.29
14.606,233.03
14.708,240.4
14.806,230.93
14.909,240.4
15.007,230.93
15.109,240.4
15.212,235.14
15.31,238.29
15.412,230.93
15.511,240.4
15.613,235.14
15.715,238.29
15.814,233.03
15.919,238.29
16.015,242.5
16.117,235.14
16.219,240.4
16.318,235.14
16.42,240.4
16.518,235.14
16.621,242.5
16.723,235.14
16.828,240.4
16.924,238.29
17.022,242.5
17.124,238.29
17.227,240.4
17.325,238.29
17.427,242.5
17.526,238.29
17.628,240.4
17.727,238.29
17.829,242.5
17.931,238.29
18.03,242.5
18.132,238.29
18.23,240.4
18.333,238.29
18.435,242.5
18.533,238.29
18.636,242.5
18.734,238.29
18.837,240.4
18.939,238.29
19.037,242.5
19.14,240.4
19.238,244.61
19.34,235.14
19.443,240.4
19.541,238.29
19.644,240.4
19.742,235.14
19.844,238.29
19.946,235.14
20.045,238.29
20.147,233.03
20.246,235.14
20.348,235.14
20.451,240.4
20.549,233.03
20.651,235.14
20.749,233.03
20.852,238.29
20.95,230.93
21.053,235.14
21.155,230.93
21.253,238.29
21.355,230.93
21.454,235.14
21.556,238.29
21.658,228.83
21.757,238.29
21.859,228.83
21.957,238.29
22.06,230.93
22.162,235.14
22.261,228.83
22.363,238.29
22.462,228.83
22.564,240.4
22.666,230.93
22.764,238.29
22.867,228.83
22.965,238.29
23.068,230.93
23.17,238.29
23.268,230.93
23.371,238.29
23.469,228.83
23.571,238.29
23.67,233.03
23.772,240.4
23.874,235.14
23.973,240.4
24.075,230.93
24.173,240.4
24.276,233.03
24.378,238.29
24.477,233.03
24.579,238.29
24.677,235.14
24.78,238.29
24.882,233.03
24.98,242.5
25.083,238.29
25.181,242.5
25.283,235.14
25.386,240.4
25.484,238.29
25.586,242.5
25.685,238.29
25.787,240.4
25.89,235.14
25.988,233.03
26.09,240.4
26.188,233.03
26.291,240.4
26.393,235.14
26.492,238.29
26.594,235.14
26.693,238.29
26.795,233.03
26.893,238.29
26.996,233.03
27.098,238.29
27.196,238.29
27.298,233.03
27.397,238.29
27.499,230.93
27.602,240.4
27.7,233.03
