time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-994.808,217.176,-72.059,1020.785,108.36,77.05
1.03,-996.81,210.171,-81.066,1021.946,111.09,77.27
1.06,-994.808,209.17,-88.072,1020.369,112.83,77.15
1.09,-1000.813,207.168,-100.081,1026.919,120.33,76.88
1.12,-1002.815,184.15,-110.089,1025.509,120.87,77.92
1.15,-1004.816,177.144,-106.086,1025.812,120.92,78.39
1.17,-1012.823,185.15,-76.062,1032.413,112.33,78.82
1.2,-1012.823,200.163,-59.048,1034.099,106.44,78.36
1.23,-1009.82,205.167,-71.058,1032.899,109.1,77.87
1.26,-1008.82,178.145,-88.072,1028.207,116.31,78.86
1.29,-998.812,176.143,-98.08,1018.956,119.11,78.51
1.31,-995.809,183.149,-79.064,1015.594,112.55,78.74
1.34,-992.807,195.159,-69.056,1014.16,109.49,78.22
1.37,-987.803,214.174,-64.052,1012.782,106.65,77.25
1.4,-979.796,204.166,-82.067,1004.201,111.9,77.34
1.43,-971.79,179.146,-114.093,994.729,124.64,78.28
1.45,-971.79,164.133,-86.07,989.304,117.67,79.2
1.48,-977.794,179.146,-73.059,996.751,112.19,78.81
1.51,-973.791,207.168,-68.055,997.908,108.19,77.38
1.54,-977.794,198.161,-100.081,1002.679,116.8,77.21
1.57,-970.789,215.175,-106.086,999.993,116.24,76.12
1.59,-973.791,217.176,-101.082,1002.822,114.96,76.18
1.62,-977.794,216.176,-101.082,1006.495,114.76,76.16
1.65,-977.794,219.178,-115.094,1008.646,113.45,76.27
1.68,-987.803,219.178,-82.067,1015.149,110.53,76.67
1.7,-996.81,219.178,-83.067,1023.997,110.76,76.77
1.73,-1000.813,212.172,-95.077,1027.465,114.14,76.92
1.76,-999.812,205.167,-147.12,1031.195,126.59,75.9
1.79,-983.799,201.163,-143.116,1014.303,125.43,75.91
1.82,-997.811,220.179,-129.105,1029.938,120.39,75.65
1.85,-995.809,235.191,-76.062,1026.029,107.92,76.06
1.87,-1001.814,242.197,-74.06,1033.332,107,75.81
1.9,-1000.813,233.189,-103.084,1032.778,113.85,75.71
1.93,-992.807,221.18,-110.089,1023.086,116.46,76.03
1.96,-998.812,212.172,-110.089,1027.016,115.59,76.63
1.98,-997.811,212.172,-79.064,1023.179,110.44,77.21
2.01,-999.812,216.176,-68.055,1025.177,107.47,77.23
2.04,-988.803,204.166,-106.086,1015.219,117.46,76.9
2.07,-984.8,196.159,-147.12,1014.867,126.87,76.02
2.1,-979.796,201.163,-140.114,1010,124.86,75.95
2.12,-985.801,195.159,-149.121,1015.937,127.38,76.01
2.15,-984.8,189.154,-134.109,1011.729,123.17,76.02
2.18,-976.794,217.176,-115.094,1007.243,112.07,76.51
2.21,-986.802,207.168,-92.075,1012.509,113.96,77.06
2.24,-976.794,184.15,-115.094,1000.641,122.01,77.47
2.26,-975.793,193.157,-106.086,1000.368,118.78,77.27
2.29,-988.803,199.162,-108.088,1014.436,114.53,77.14
2.32,-987.803,192.156,-99.081,1011.185,117.28,77.65
2.35,-995.809,185.15,-101.082,1017.907,118.63,78.04
2.38,-994.808,185.15,-101.082,1016.928,118.63,78.03
2.4,-996.81,195.159,-103.084,1020.952,117.84,77.52
2.43,-1007.819,190.155,-85.069,1029.123,114.1,78.32
2.46,-1010.821,181.147,-75.061,1029.664,112.51,79.02
2.49,-1008.82,178.145,-66.054,1026.555,109.83,79.08
2.51,-1010.821,196.159,-42.034,1030.536,108.87,78.41
2.54,-1006.818,193.157,-88.072,1028.955,114.51,78.09
2.57,-1004.816,202.164,-92.075,1029.079,114.49,77.53
2.6,-1005.817,216.176,-92.075,1032.898,113.07,76.85
2.63,-1007.819,213.173,-100.081,1034.968,119.28,76.15
2.66,-990.805,211.172,-105.085,1018.494,116.46,76.61
2.68,-993.807,209.17,-101.082,1020.599,115.79,76.84
2.71,-995.809,184.15,-105.085,1018.13,119.71,77.98
2.74,-985.801,200.163,-79.064,1009.019,111.55,77.68
2.77,-993.807,214.174,-53.043,1018.007,103.91,77.48
2.79,-985.801,201.163,-68.055,1008.415,108.69,77.84
2.82,-977.794,185.15,-82.067,998.548,113.13,77.93
2.85,-970.789,194.158,-97.079,994.762,114.15,77.64
2.88,-973.791,191.155,-115.094,999.028,121.05,77.09
2.91,-965.785,212.172,-110.089,994.926,117.42,76.1
2.93,-970.789,214.174,-103.084,999.464,115.7,76.24
2.96,-971.79,205.167,-96.078,997.847,114.04,77.02
2.99,-978.795,205.167,-74.06,1002.805,109.85,77.44
3.02,-989.804,204.166,-65.053,1012.733,107.67,77.78
3.05,-984.8,181.147,-95.077,1005.826,117.69,78.26
3.07,-982.799,190.155,-97.079,1005.722,117.05,77.74
3.1,-998.812,208.169,-91.074,1024.331,113.63,77.18
3.13,-998.812,211.172,-82.067,1024.184,111.24,77.22
3.16,-997.811,218.177,-94.076,1025.708,113.42,76.72
3.18,-1006.818,215.175,-101.082,1034.505,115.16,76.71
3.21,-1009.82,200.163,-92.075,1033.576,114.7,77.69
3.24,-1012.823,179.146,-123.1,1035.885,124.49,77.89
3.27,-1008.82,185.15,-122.099,1032.911,123.4,77.6
3.3,-1009.82,195.159,-99.081,1033.267,115.45,77.27
3.32,-1016.826,221.18,-83.067,1043.914,110.58,76.92
3.35,-1009.82,216.176,-79.064,1035.722,110.09,77.16
3.38,-1009.82,188.153,-85.069,1030.716,114.33,78.44
3.41,-1000.813,179.146,-85.069,1020.273,115.4,78.79
3.44,-996.81,188.153,-72.059,1016.968,110.96,78.57
3.46,-998.812,207.168,-77.063,1022.977,110.4,77.52
3.49,-998.812,217.176,-93.076,1026.379,112.82,76.35
3.52,-981.798,211.172,-112.091,1010.487,117.96,76.31
3.55,-982.799,185.15,-119.097,1007.153,122.75,77.37
3.58,-980.797,183.149,-94.076,1002.176,117.19,78.14
3.6,-983.799,192.156,-85.069,1005.993,113.88,77.94
3.63,-972.79,213.173,-61.05,997.743,104.98,76.35
3.66,-982.799,228.185,-78.063,1011.956,108.89,76.21
3.69,-980.797,205.167,-100.081,1007.011,116,76.9
3.72,-985.801,180.146,-136.111,1011.327,127.07,77.1
3.74,-982.799,178.145,-120.098,1006.008,123.99,77.67
3.77,-997.811,188.153,-92.075,1019.561,116.08,78.14
3.8,-993.807,208.169,-78.063,1018.372,110.56,77.39
3.83,-992.807,223.181,-64.052,1019.597,103.58,76.3
3.86,-1004.816,237.193,-62.05,1034.295,104.66,76.29
3.88,-999.812,227.185,-73.059,1027.898,107.83,76.58
3.91,-989.804,180.146,-123.1,1013.567,124.35,77.57
3.94,-991.806,178.145,-136.111,1016.829,127.38,77.26
3.97,-998.812,184.15,-124.101,1023.199,123.98,77.47
3.99,-996.81,199.162,-105.085,1021.929,117.82,77.27
4.02,-1001.814,219.178,-92.075,1029.635,111.38,75.85
4.05,-1009.82,217.176,-96.078,1037.369,112.53,76.89
4.08,-1006.818,204.166,-86.07,1030.91,112.86,77.59
4.11,-1006.818,198.161,-89.072,1029.992,114.2,77.82
4.13,-999.812,199.162,-91.074,1023.516,114.57,77.65
4.16,-995.809,203.165,-92.075,1020.485,114.88,77.01
4.19,-987.803,205.167,-90.073,1012.897,113.7,77.22
4.22,-986.802,204.166,-87.071,1011.456,113.1,77.32
4.25,-973.791,202.164,-88.072,998.447,113.54,77.24
4.27,-977.794,198.161,-103.084,1002.984,117.48,77.13
4.3,-965.785,198.161,-122.099,993.437,121.64,76.45
4.33,-967.786,214.174,-109.089,997.187,116.99,76.05
4.36,-968.787,224.182,-97.079,999.115,112.6,75.39
4.39,-970.789,228.185,-90.073,1001.305,113.47,75.63
4.41,-969.788,227.185,-96.078,1000.666,112.92,75.73
4.44,-970.789,202.164,-97.079,996.356,115.65,76.99
4.47,-973.791,209.17,-86.07,999.715,112.37,76.92
4.5,-980.797,216.176,-85.069,1007.934,109.14,76.76
4.53,-987.803,215.175,-75.061,1013.75,109.23,77.01
4.55,-985.801,215.175,-67.054,1011.237,107.31,77.12
4.58,-998.812,215.175,-90.073,1025.689,112.71,76.85
4.61,-992.807,211.172,-108.088,1020.755,117.11,76.56
4.64,-994.808,222.181,-127.103,1027.211,119.77,75.57
4.66,-1003.816,234.19,-118.096,1037.515,116.76,75.36
4.69,-998.812,239.194,-97.079,1031.631,112.01,75.46
4.72,-1010.821,238.194,-109.089,1044.22,111.13,75.82
4.75,-1013.824,220.179,-78.063,1040.39,109.52,77.02
4.78,-1017.827,214.174,-114.093,1046.355,118.04,76.59
4.8,-1017.827,210.171,-137.111,1048.305,123.12,76.15
4.83,-993.807,206.168,-117.095,1021.699,110.98,77.51
4.86,-1010.821,209.17,-70.057,1034.611,108.52,77.69
4.89,-996.81,207.168,-79.064,1021.176,110.89,77.46
4.92,-986.802,210.171,-94.076,1013.311,114.11,76.87
4.94,-994.808,213.173,-95.077,1021.825,114.04,76.8
4.97,-979.796,208.169,-95.077,1006.168,114.55,76.85
5,-976.794,212.172,-91.074,1003.712,113.23,76.7
5.03,-980.797,217.176,-95.077,1009.043,113.07,76.3
5.05,-977.794,200.163,-69.056,1000.458,113.27,77.44
5.08,-977.794,183.149,-126.102,1002.76,124.55,77.19
5.11,-978.795,188.153,-129.105,1005.042,124.46,76.88
5.14,-986.802,200.163,-122.099,1014.274,121.38,76.63
5.17,-979.796,213.173,-82.067,1006.071,109.47,75.91
5.19,-993.807,232.189,-70.057,1022.973,106.79,76.29
5.22,-1004.816,205.167,-103.084,1030.716,116.68,77.13
5.25,-985.801,187.152,-102.083,1008.588,118.61,77.8
5.28,-996.81,200.163,-99.081,1021.524,116.34,77.37
5.31,-991.806,224.182,-76.062,1019.667,108.74,76.58
5.34,-989.804,231.188,-81.066,1019.672,109.32,76.1
5.36,-994.808,231.188,-97.079,1025.922,113.99,76.49
5.39,-990.805,209.17,-122.099,1019.978,119.45,76.37
5.42,-1002.815,209.17,-114.093,1030.731,118.61,76.63
5.45,-999.812,216.176,-83.067,1026.283,111.02,76.96
5.47,-1004.816,221.18,-98.08,1033.536,113.91,76.46
5.5,-1000.813,203.165,-111.09,1027.251,120.16,77.35
5.53,-991.806,195.159,-98.08,1015.571,116.68,77.58
5.56,-997.811,188.153,-103.084,1020.614,118.72,77.87
5.59,-986.802,196.159,-71.058,1008.616,109.91,78.06
5.61,-987.803,207.168,-78.063,1012.307,110.65,77.37
5.64,-982.799,223.181,-103.084,1013.079,114.79,75.96
5.67,-981.798,210.171,-100.081,1009.017,115.46,76.66
5.7,-975.793,207.168,-93.076,1001.875,116.01,76.66
5.73,-973.791,200.163,-96.078,998.782,115.64,77.16
5.75,-972.79,178.145,-102.083,994.222,119.81,78.08
