time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-1035.842,112.091,-6.005,1439.986,93.07,83.82
1.03,-1026.834,123.1,-31.025,1417.199,104.15,82.95
1.06,-1013.824,81.066,-50.041,1391.701,121.69,84.63
1.09,-1018.828,66.054,-52.042,1393.197,128.23,85.28
1.12,-1025.833,67.054,-8.007,1428.594,78.5,86.63
1.15,-1008.82,65.053,-1.001,1421.249,90.88,86.31
1.17,-1003.816,64.052,-43.035,1388.355,123.9,85.6
1.2,-996.81,80.065,-44.036,1383.441,118.81,84.76
1.23,-984.8,96.078,-38.031,1380.017,111.6,84.01
1.26,-965.785,132.107,-49.04,1361.807,110.37,81.7
1.29,-957.778,134.109,-53.043,1353.533,111.58,81.44
1.31,-948.771,147.12,-54.044,1347.829,111.23,81.06
1.34,-976.794,121.098,-22.018,1387.53,104.37,82.64
1.37,-969.788,112.091,-32.026,1374.782,105.95,83.15
1.4,-977.794,94.076,-51.042,1365.817,118.48,83.75
1.43,-980.797,104.085,-45.037,1372.862,113.4,83.4
1.45,-987.803,126.102,-27.022,1392.244,101.56,82.25
1.48,-997.811,147.12,-29.024,1400.023,101.16,81.45
1.51,-1000.813,162.132,-45.037,1392.792,105.52,80.46
1.54,-1008.82,148.12,-47.038,1395.634,107.62,81.24
1.57,-1018.828,133.108,-47.038,1401.379,109.46,82.11
1.59,-1017.827,93.076,-69.056,1382.495,126.57,83.5
1.62,-1023.832,107.087,-57.046,1396.016,118.04,83.24
1.65,-1025.833,107.087,-66.054,1391.423,120.26,82.27
1.68,-1030.838,135.11,-50.041,1408.298,110.32,82.04
1.71,-1040.846,143.116,-22.018,1435.371,98.75,82.08
1.73,-1044.849,115.094,-29.024,1430.996,104.15,83.52
1.76,-1056.859,123.1,-20.016,1446.538,99.24,83.27
1.79,-1066.867,107.087,-41.033,1438.503,110.97,83.86
1.82,-1054.857,122.099,-52.042,1423.466,113.09,82.83
1.85,-1065.866,120.098,-48.039,1434.128,112.48,83.28
1.87,-1046.851,124.101,-37.03,1427.798,118.38,82.33
1.9,-1032.839,122.099,-94.076,1379.262,127.61,81.51
1.93,-1016.826,119.097,-94.076,1367.047,128.31,81.51
1.96,-1014.825,102.083,-52.042,1392.449,117.01,83.56
1.98,-997.811,89.072,-130.106,1326.754,145.91,81.01
2.01,-983.799,84.068,-122.099,1321.226,145.45,81.43
2.04,-974.792,86.07,-82.067,1341.726,133.64,83.04
2.07,-964.784,72.059,-53.043,1353.783,126.36,84.7
2.1,-961.781,63.051,-64.052,1343.502,135.45,84.66
2.13,-948.771,90.073,-124.101,1294.403,144.03,80.82
2.15,-955.777,116.094,-52.042,1351.151,114.15,82.42
2.18,-954.776,128.104,-29.024,1367.773,104.52,83.11
2.21,-973.791,97.079,-84.068,1340.382,124.23,83.12
2.24,-981.798,98.08,-77.063,1351.059,128.16,82.76
2.27,-1000.813,87.071,-71.058,1368.262,129.22,83.59
2.29,-1009.82,84.068,-89.072,1362.569,136.66,83.08
2.32,-1006.818,93.076,-102.083,1352.258,137.95,82.36
2.35,-1026.834,107.087,-85.069,1379.476,128.46,82.41
2.38,-1028.836,119.097,-66.054,1394.612,119.01,82.46
2.41,-1028.836,140.114,-100.081,1374.041,125.54,80.5
2.43,-1032.839,153.124,-80.065,1391.576,117.6,80.5
2.46,-1035.842,170.138,-37.03,1424.509,102.28,80.46
2.49,-1040.846,155.126,-3.002,1449.63,91.11,81.52
