time_s,pressure_Pa
39.791,942.13
39.893,946.34
39.992,942.13
40.094,946.34
40.196,940.03
40.295,946.34
40.397,940.03
40.496,948.44
40.598,940.03
40.696,946.34
40.798,940.03
40.901,946.34
41,942.13
41.102,946.34
41.2,942.13
41.302,944.24
41.405,940.03
41.503,946.34
41.605,942.13
41.704,946.34
41.806,940.03
41.908,944.24
42.007,942.13
42.109,944.24
42.208,942.13
42.31,946.34
42.412,940.03
42.511,946.34
42.613,940.03
42.711,946.34
42.814,940.03
42.916,946.34
43.014,940.03
43.117,946.34
