time_s,pressure_Pa
0,7.89
0.102,17.36
0.201,19.46
0.304,17.36
0.401,19.46
0.504,17.36
0.602,19.46
0.705,17.36
0.807,19.46
0.905,15.26
1.008,19.46
1.106,17.36
1.208,19.46
1.311,15.26
1.409,19.46
1.511,21.57
1.61,17.36
1.712,21.57
1.811,17.36
1.913,21.57
2.015,15.26
2.114,21.57
2.216,17.36
2.314,21.57
2.417,17.36
2.519,21.57
2.617,15.26
2.72,21.57
2.818,17.36
2.92,21.57
3.019,15.26
3.121,21.57
3.223,15.26
3.322,21.57
3.424,17.36
3.523,21.57
3.625,17.36
3.727,21.57
3.826,17.36
3.928,21.57
4.026,15.26
4.129,21.57
4.227,15.26
4.329,17.36
4.432,21.57
4.53,17.36
4.632,21.57
4.731,17.36
4.833,21.57
4.935,17.36
5.034,21.57
5.136,15.26
5.235,21.57
5.337,17.36
5.435,21.57
5.538,15.26
5.64,21.57
5.738,17.36
5.841,17.36
5.939,21.57
6.041,17.36
6.144,21.57
6.242,17.36
6.344,21.57
6.443,17.36
6.545,17.36
6.644,21.57
6.746,17.36
6.848,21.57
6.947,17.36
7.049,21.57
7.147,17.36
7.25,21.57
7.352,17.36
7.45,21.57
7.553,17.36
7.651,21.57
7.753,17.36
7.856,21.57
7.954,17.36
8.056,21.57
8.155,17.36
8.257,21.57
8.356,15.26
8.458,21.57
8.56,17.36
8.659,21.57
8.761,13.15
8.859,21.57
8.962,17.36
9.064,19.46
9.162,15.26
9.265,21.57
9.363,21.57
9.466,17.36
9.564,21.57
9.666,17.36
9.769,21.57
9.867,17.36
9.969,21.57
10.068,17.36
10.17,21.57
10.272,17.36
10.371,21.57
10.473,15.26
10.571,21.57
10.674,17.36
10.772,21.57
10.874,15.26
10.977,21.57
11.075,15.26
11.178,21.57
11.276,17.36
11.378,21.57
11.481,17.36
11.579,21.57
11.681,21.57
11.78,17.36
11.882,19.46
11.98,17.36
12.083,21.57
12.185,17.36
12.283,21.57
12.386,17.36
12.484,21.57
12.586,17.36
12.689,21.57
12.787,17.36
12.89,21.57
12.988,17.36
13.09,21.57
13.189,15.26
13.291,21.57
13.393,17.36
13.492,21.57
13.594,17.36
13.692,19.46
13.795,15.26
13.897,21.57
13.996,15.26
14.098,21.57
14.196,17.36
14.299,21.57
14.401,17.36
14.499,21.57
14.602,15.26
14.7,19.46
14.803,13.15
14.901,21.57
15.003,15.26
15.105,19.46
15.204,17.36
15.306,21.57
15.404,15.26
15.507,21.57
15.609,17.36
15.708,21.57
15.811,15.26
15.908,19.46
16.011,15.26
16.11,19.46
16.211,15.26
16.331,21.57
16.412,15.26
16.514,21.57
16.613,15.26
16.715,21.57
16.817,19.46
16.916,15.26
17.018,21.57
17.116,15.26
17.219,21.57
17.317,15.26
17.42,21.57
17.522,15.26
17.621,19.46
17.723,17.36
17.821,21.57
17.923,15.26
18.026,19.46
18.124,15.26
18.227,19.46
18.325,15.26
18.427,21.57
18.525,15.26
18.628,19.46
18.73,15.26
18.829,19.46
18.931,15.26
19.029,19.46
19.132,15.26
19.234,21.57
19.333,15.26
19.435,19.46
19.533,15.26
19.636,21.57
19.738,15.26
19.836,19.46
19.939,15.26
20.037,21.57
20.139,15.26
20.238,19.46
20.34,15.26
20.442,19.46
20.541,15.26
20.643,19.46
20.741,21.57
20.844,19.46
20.946,19.46
21.044,15.26
21.147,19.46
21.245,21.57
21.348,15.26
21.446,19.46
21.548,15.26
21.651,19.46
21.749,15.26
21.852,21.57
21.95,19.46
22.052,15.26
22.154,19.46
22.253,15.26
22.355,19.46
22.454,15.26
22.556,19.46
22.655,15.26
22.757,19.46
22.859,15.26
22.957,21.57
23.06,15.26
23.158,21.57
23.26,15.26
23.363,21.57
23.461,13.15
23.563,21.57
23.662,15.26
23.764,21.57
23.863,15.26
23.965,21.57
24.067,17.36
24.166,24.72
24.268,17.36
24.366,21.57
24.469,13.15
24.571,21.57
24.669,17.36
24.772,21.57
24.87,17.36
24.972,21.57
25.071,17.36
25.173,21.57
25.275,17.36
25.374,21.57
25.476,17.36
25.575,21.57
25.677,17.36
25.779,21.57
25.878,17.36
25.98,21.57
26.078,17.36
26.181,21.57
26.283,17.36
26.381,21.57
26.484,17.36
26.582,21.57
26.685,17.36
26.783,21.57
26.886,17.36
26.988,21.57
27.086,21.57
27.188,15.26
27.287,21.57
27.389,17.36
27.491,21.57
27.59,17.36
27.692,24.72
27.79,17.36
27.893,21.57
27.991,17.36
28.094,21.57
28.196,17.36
28.294,21.57
28.397,15.26
28.495,21.57
28.597,15.26
28.7,21.57
28.798,15.26
28.9,24.72
28.999,17.36
29.101,21.57
29.199,15.26
29.302,24.72
29.404,17.36
29.504,19.46
29.605,15.26
29.706,21.57
29.806,15.26
29.908,24.72
30.006,17.36
30.109,21.57
30.207,17.36
30.309,21.57
30.408,15.26
30.51,21.57
30.612,17.36
30.711,24.72
30.813,15.26
30.911,21.57
31.014,15.26
31.116,21.57
31.215,15.26
31.317,21.57
31.415,15.26
31.518,21.57
31.616,15.26
31.719,21.57
31.821,17.36
31.919,21.57
32.022,15.26
32.12,21.57
32.222,17.36
32.325,17.36
32.423,21.57
32.525,15.26
32.623,21.57
32.726,15.26
32.824,21.57
32.927,15.26
33.029,15.26
33.127,21.57
33.23,17.36
33.328,21.57
33.43,15.26
33.533,21.57
33.631,17.36
33.733,21.57
33.832,15.26
33.934,21.57
34.036,15.26
34.135,21.57
34.237,15.26
34.336,21.57
34.438,15.26
34.536,15.26
34.639,21.57
34.741,15.26
34.839,21.57
34.942,15.26
35.04,21.57
35.143,15.26
35.245,21.57
35.343,15.26
35.446,21.57
35.544,17.36
35.646,21.57
35.745,17.36
35.847,21.57
35.95,21.57
36.049,15.26
36.15,24.72
36.248,17.36
36.351,21.57
36.453,15.26
36.551,21.57
36.654,15.26
36.752,19.46
36.854,15.26
36.953,19.46
37.055,17.36
37.157,19.46
37.256,15.26
37.358,19.46
37.456,15.26
37.559,15.26
37.661,21.57
37.76,15.26
37.862,21.57
37.96,15.26
38.063,21.57
38.161,15.26
38.263,21.57
38.366,15.26
38.464,21.57
38.566,15.26
38.665,19.46
38.767,15.26
38.869,21.57
38.968,15.26
39.07,21.57
39.168,15.26
39.271,19.46
39.373,15.26
39.472,19.46
39.574,15.26
39.672,19.46
39.775,15.26
39.873,19.46
39.976,15.26
40.078,19.46
40.176,15.26
40.279,19.46
40.377,15.26
40.481,21.57
40.582,15.26
40.68,19.46
