time_s,pressure_Pa
0,783.27
0.103,780.11
0.201,783.27
0.303,776.96
0.405,783.27
0.504,776.96
0.606,782.22
0.705,776.96
0.807,782.22
0.909,774.85
1.008,776.96
1.11,788.53
1.208,776.96
1.311,782.22
1.413,774.85
1.511,782.22
1.614,774.85
1.712,780.11
1.815,774.85
1.917,780.11
2.015,774.85
2.118,782.22
2.216,774.85
2.318,780.11
2.417,772.75
2.519,780.11
2.621,770.64
2.72,776.96
2.822,772.75
2.92,780.11
3.023,772.75
3.125,776.96
3.224,776.96
3.326,772.75
3.424,774.85
3.526,770.64
3.629,776.96
3.727,772.75
3.83,774.85
3.928,768.54
4.03,774.85
4.133,768.54
4.231,772.75
4.333,765.38
4.432,774.85
4.534,768.54
4.637,772.75
4.735,768.54
4.837,772.75
4.936,765.38
5.038,772.75
5.14,765.38
5.239,772.75
5.341,765.38
5.439,770.64
5.542,761.17
5.644,770.64
5.743,765.38
5.845,770.64
5.943,761.17
6.046,768.54
6.144,763.28
6.246,768.54
6.349,763.28
6.447,768.54
6.549,761.17
6.648,761.17
6.75,765.38
6.852,761.17
6.951,763.28
7.053,759.07
7.151,765.38
7.254,759.07
7.356,763.28
7.454,759.07
7.557,763.28
7.655,756.97
7.758,763.28
7.86,759.07
7.958,763.28
8.061,759.07
8.159,763.28
8.261,759.07
8.364,763.28
8.462,756.97
8.564,761.17
8.663,756.97
8.765,761.17
8.867,754.86
8.966,761.17
9.068,754.86
9.167,761.17
9.269,751.71
9.367,763.28
9.47,754.86
9.572,759.07
9.67,751.71
9.773,759.07
9.871,751.71
9.973,756.97
10.076,754.86
10.174,759.07
10.276,751.71
10.375,756.97
10.477,749.6
10.58,756.97
10.678,749.6
10.78,756.97
10.879,749.6
10.981,756.97
11.083,749.6
11.182,756.97
11.284,751.71
11.382,756.97
11.485,749.6
11.587,754.86
11.686,754.86
11.788,747.5
11.886,751.71
11.989,745.39
12.091,754.86
12.189,754.86
12.292,747.5
12.39,754.86
12.492,745.39
12.591,754.86
12.693,749.6
12.795,751.71
12.894,745.39
12.996,751.71
13.094,745.39
13.197,751.71
13.299,745.39
13.398,751.71
13.5,745.39
13.598,749.6
13.701,745.39
13.803,751.71
13.901,743.29
14.004,749.6
14.102,745.39
14.204,749.6
14.307,745.39
14.405,747.5
14.508,740.13
14.606,747.5
14.708,743.29
14.811,747.5
14.909,743.29
15.011,747.5
15.109,740.13
15.212,747.5
15.314,738.03
15.414,745.39
15.515,740.13
15.613,745.39
15.716,740.13
15.818,745.39
15.917,738.03
16.019,745.39
16.117,738.03
16.219,745.39
16.318,740.13
16.422,745.39
16.523,735.93
16.621,740.13
16.723,735.93
16.822,745.39
16.924,738.03
17.026,740.13
17.125,738.03
17.227,740.13
17.326,735.93
17.428,743.29
17.53,738.03
17.628,740.13
17.731,735.93
17.829,733.82
17.932,740.13
18.034,733.82
18.132,733.82
18.235,740.13
18.333,733.82
18.435,743.29
18.538,733.82
18.636,743.29
18.739,735.93
18.837,743.29
18.939,733.82
19.042,740.13
19.14,733.82
19.242,740.13
19.341,733.82
19.443,740.13
19.541,733.82
19.644,740.13
19.746,731.72
19.845,738.03
19.947,731.72
20.045,740.13
20.147,731.72
20.25,738.03
20.348,729.61
20.451,738.03
20.549,731.72
20.651,733.82
20.754,726.46
20.852,733.82
20.954,726.46
21.053,733.82
21.155,724.35
21.257,731.72
21.356,726.46
21.458,733.82
21.556,726.46
21.659,733.82
21.761,726.46
21.859,729.61
21.962,724.35
22.06,731.72
22.163,726.46
22.265,731.72
22.363,722.25
22.466,731.72
22.564,722.25
22.666,731.72
22.769,724.35
22.867,729.61
22.969,724.35
23.068,729.61
23.17,724.35
23.268,729.61
23.371,731.72
23.473,724.35
23.572,729.61
23.674,722.25
23.773,729.61
23.875,720.14
23.977,726.46
24.075,724.35
24.178,729.61
24.276,724.35
