time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-988.803,165.134,-150.122,1013.676,139.47,75.59
1.03,-986.802,163.133,-196.159,1019.249,140.25,75.5
1.06,-988.803,165.134,-198.161,1021.895,136.18,74.45
1.09,-985.801,168.137,-227.185,1025.518,143.5,74
1.12,-1003.816,161.131,-241.196,1044.885,146.26,73.88
1.15,-983.799,149.121,-254.207,1026.995,149.6,73.32
1.17,-1005.817,161.131,-250.203,1048.92,147.22,73.52
1.2,-989.804,149.121,-222.181,1025.336,146.13,74.87
1.23,-997.811,154.125,-200.163,1029.294,142.4,75.79
1.26,-995.809,150.122,-220.179,1030.85,145.64,75.33
1.29,-1005.817,143.116,-218.177,1039.111,146.74,75.46
1.31,-1005.817,148.12,-198.161,1035.797,143.22,76.18
1.34,-993.807,132.107,-185.15,1019.503,144.49,77.11
1.37,-991.806,145.118,-190.155,1020.243,142.65,76.44
1.4,-973.791,167.136,-172.14,1002.914,135.85,76.16
1.43,-982.799,162.132,-207.168,1017.398,141.95,75.01
1.46,-988.803,129.105,-214.174,1019.937,146.62,75.4
1.48,-976.794,164.133,-227.185,1016.208,144.86,73.73
1.51,-965.785,183.149,-214.174,1006.059,139.46,73.73
1.54,-966.785,183.149,-188.153,1001.808,135.77,74.81
1.57,-961.781,174.141,-185.15,994.801,136.76,75.2
1.6,-966.785,167.136,-178.145,997.168,137.69,76.19
1.62,-984.8,148.12,-191.155,1014.057,142.23,76.2
1.65,-978.795,170.138,-186.151,1010.762,137.57,75.55
1.68,-970.789,196.159,-208.169,1012.049,136.7,73.58
1.71,-968.787,202.164,-197.16,1009.104,134.28,73.75
1.73,-984.8,197.16,-202.164,1024.487,135.72,74
1.76,-976.794,192.156,-193.157,1014.081,135.15,74.41
1.79,-975.793,174.141,-196.159,1010.433,136.57,75.56
1.82,-995.809,185.15,-189.154,1030.386,135.61,75.11
1.85,-986.802,202.164,-184.15,1023.992,132.33,74.51
1.87,-984.8,224.182,-154.125,1021.687,124.51,74.56
1.9,-995.809,209.17,-163.133,1030.534,127.95,75.08
1.93,-995.809,189.154,-195.159,1032.231,135.9,74.73
1.96,-977.794,188.153,-198.161,1015.259,136.48,74.39
1.99,-989.804,192.156,-214.174,1030.78,135.68,73.27
2.01,-979.796,215.175,-193.157,1021.572,131.32,73.81
2.04,-983.799,221.18,-185.15,1025.213,129.93,73.66
2.07,-984.8,209.17,-182.148,1023.114,131.05,74.27
2.1,-978.795,191.155,-181.147,1013.605,133.46,74.94
2.13,-991.806,183.149,-197.16,1027.665,136.95,74.71
2.15,-967.786,186.151,-195.159,1004.664,136.35,74.43
2.18,-971.79,182.148,-203.165,1009.371,138.12,74.32
2.21,-975.793,172.14,-173.141,1005.873,135.17,75.95
2.24,-966.785,200.163,-184.15,1004.316,132.61,74.29
2.27,-962.782,204.166,-167.136,998.282,129.3,74.67
2.29,-964.784,201.163,-158.128,998.138,128.17,75.15
2.32,-960.781,208.169,-176.143,998.729,135.42,73.47
2.35,-973.791,174.141,-233.189,1016.352,143.25,73.36
2.38,-965.785,175.142,-216.176,1005.061,140.99,73.93
2.41,-971.79,185.15,-180.146,1005.539,134.22,75.11
2.43,-987.803,184.15,-195.159,1023.597,136.66,74.8
2.46,-976.794,193.157,-180.146,1011.874,133,74.87
