file,config,trial,n_samples,fs,Ax_std,Ay_std,Az_std,Aabs_mean,Aabs_std,roll_std,pitch_std,fdom_Ax,fdom_Ay,fdom_Az,fdom_Aabs,fdom_roll,fdom_pitch
data_acc_n0_n0_1.csv,n0_n0,1,1860,35.5517307324536,38.087153297204,34.9856605417791,12.4567073223542,1020.06247344824,11.1022188611629,2.03624239976223,2.21080463604411,0.668984180449396,0.611642679268019,1.31885452717167,1.31885452717167,0.611642679268019,0.668984180449396
data_acc_n0_n0_2.csv,n0_n0,2,1961,35.6298854753681,39.564555262544,31.5279646716278,13.401829139977,1019.50909548457,11.8293871084241,1.83201556502403,2.30206783768253,0.726769719028416,0.726769719028416,1.32635473722686,1.32635473722686,0.726769719028416,0.726769719028416
data_acc_n0_n0_4.csv,n0_n0,4,2473,35.6195965417867,34.9244937601364,33.5622391998067,13.1386814457535,1020.16965265107,12.1751245380893,1.94348105162128,2.03098316174366,0.921817298291286,0.691362973718465,1.35391915686533,1.35391915686533,0.691362973718465,0.921817298291286
data_acc_n0_n1_3.csv,n0_n1,3,2054,35.617626648161,34.7599840998653,35.0717850685028,12.7520966237008,1019.74267390922,11.875952189325,2.03851364910021,2.01564439938089,0.710965283629309,0.710965283629309,1.40458995058473,1.40458995058473,0.710965283629309,0.710965283629309
data_acc_n1_0_off_1.csv,n1_0_off,1,1395,35.6795495264909,19.9877893982942,21.4487976581342,13.1865888352822,1019.13986168628,12.8892100064323,1.26872513449102,1.16867409736931,1.15095321053197,1.15095321053197,1.432297328662,1.432297328662,1.15095321053197,1.15095321053197
data_acc_n1_0_off_3.csv,n1_0_off,3,1612,35.6337093563371,23.5951277977639,22.1190900221274,12.818478022559,1018.93969063803,12.3509157973223,1.30174939264216,1.38183025397584,1.01684282282352,1.03894810158055,1.43684311920714,1.43684311920714,1.03894810158055,1.01684282282352
data_acc_n1_0_off_4.csv,n1_0_off,4,1958,35.6012370383846,20.7900592469348,24.4370328912894,13.8343137554475,1018.86708017907,13.6642600872593,1.43756301031122,1.21447205777092,0.600020848961538,1.12731189804895,1.29095394776573,1.29095394776573,1.12731189804895,0.600020848961538
data_acc_n1_n0_1.csv,n1_n0,1,2015,35.7409050576752,57.8595675395324,52.4809767737421,57.6683760821039,1320.69824253098,60.7463197808788,3.06370861088714,3.41574623546565,0.798183983918306,0.940083358837116,1.31256921799899,1.31256921799899,0.940083358837116,0.798183983918306
data_acc_n1_n0_2.csv,n1_n0,2,2018,35.6612446958982,47.9329666378145,49.9648199937379,34.0032719143075,1395.41135429999,45.6862972239451,2.86144641617192,2.76806643263208,0.51247576619477,0.777549438364479,1.3076967827039,1.3076967827039,0.777549438364479,0.51247576619477
data_acc_n1_n0_3.csv,n1_n0,3,2368,35.44474393531,39.1996916268606,41.555066979097,33.6320473039461,1412.88188228016,39.6400427420724,2.4012554637091,2.27018775562164,0.553824123989218,0.778347417498361,1.19745756538209,1.19745756538209,0.778347417498361,0.553824123989218
data_acc_n1_n0_4.csv,n1_n0,4,1882,35.5509355509355,38.089079921328,43.6061778581615,28.5771106887697,1414.75707521466,38.4356812191639,2.51617800647758,2.20577786896645,0.812268984426264,0.642259196988209,1.28451839397642,1.28451839397642,0.642259196988209,0.812268984426264
data_acc_n1_n1_1.csv,n1_n1,1,2272,35.5343451728994,30.1175779797725,32.7286170395198,12.6806172251709,1018.02474232086,17.0184877050354,1.90213581773689,1.7626077940794,0.688165135390657,0.563044201683265,1.42325062092159,1.42325062092159,0.563044201683265,0.688165135390657
data_acc_n1_n1_2.csv,n1_n1,2,1770,35.6581334408385,26.0594962589008,31.1557320216543,12.7622534336353,1018.38181270841,17.3517493122973,1.81007311932141,1.53085346278997,0.503645952554217,0.745396009780241,1.36991699094747,1.36991699094747,0.745396009780241,0.503645952554217
data_acc_n1_n1_3.csv,n1_n1,3,1068,35.5193075898802,28.7089221071074,29.7130087618119,12.6284373233352,1019.17104662512,15.755949634412,1.72723777870089,1.68061844284839,0.698413351486408,1.03099113790851,1.29705336704619,1.29705336704619,1.03099113790851,0.698413351486408
data_acc_n1_n1_4.csv,n1_n1,4,1018,35.5843247025892,25.1772222944872,25.0609466673954,13.7998324453333,1017.15890578106,18.120516920741,1.46030721199456,1.47419139534709,0.734057778737106,0.873878308020364,1.36325016051177,1.36325016051177,0.873878308020364,0.734057778737106
data_acc_n1_n1_off_1.csv,n1_n1_off,1,1322,35.7606930157011,12.9811028756836,13.567329724474,11.8552146940554,1017.06790033491,12.1240052614178,0.799357438663226,0.755042111120424,5.59944285495472,5.62649330352938,1.40662332588234,1.40662332588234,5.62649330352938,5.59944285495472
data_acc_n1_n1_off_2.csv,n1_n1_off,2,1112,35.7579658834889,13.3441322871098,13.6408326599732,11.9870221662986,1016.83854763327,12.2105423483789,0.803301087752431,0.776606510626541,0.546659550377078,0.578815994516907,1.41488354215244,1.41488354215244,0.578815994516907,0.546659550377078
data_acc_n1_n1_off_3.csv,n1_n1_off,3,1895,35.7358490566038,14.1242294204452,15.4713263100193,12.4798243751852,1017.03038280373,12.7851152981211,0.913945014914248,0.821367484806295,0.924040424154926,0.942898391994823,1.41434758799223,1.41434758799223,0.942898391994823,0.924040424154926
data_acc_n1_n1_off_4.csv,n1_n1_off,4,1176,35.7577601947657,11.6982679280806,14.1520580389367,11.7247328843591,1016.98301570415,12.0918593491788,0.835983982315587,0.675676625700069,0.790562725394479,3.28387593625399,1.39868789877485,1.39868789877485,3.28387593625399,0.790562725394479
