time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-1003.816,207.168,-74.06,1027.643,110.4,77.58
1.03,-1008.82,215.175,-79.064,1034.538,110.18,77.2
1.06,-1010.821,191.155,-105.085,1034.09,118.8,77.82
1.09,-1015.825,189.154,-99.081,1038.026,117.65,78.13
1.12,-1012.823,195.159,-110.089,1037.312,118.81,77.24
1.15,-1003.816,201.163,-96.078,1028.272,115.53,77.48
1.17,-999.812,194.158,-106.086,1024,118.65,77.52
1.2,-997.811,188.153,-98.08,1020.121,117.53,78
1.23,-1000.813,198.161,-94.076,1024.571,115.4,77.64
1.26,-978.795,209.17,-101.082,1005.987,115.79,76.65
1.29,-979.796,215.175,-102.083,1008.326,115.38,76.34
1.31,-983.799,204.166,-117.095,1011.561,118.16,76.9
1.34,-978.795,204.166,-100.081,1004.858,116.11,76.92
1.37,-990.805,213.173,-89.072,1017.385,112.68,76.87
1.4,-983.799,201.163,-99.081,1009.032,116.22,77.16
1.43,-981.798,196.159,-120.098,1008.379,121.48,76.82
1.45,-963.783,203.165,-146.119,995.743,125.72,75.44
1.48,-972.79,215.175,-126.102,1004.253,120.37,75.62
1.51,-975.793,224.182,-110.089,1007.248,116.26,75.69
1.54,-990.805,224.182,-102.083,1020.967,111,76.38
1.57,-1000.813,219.178,-75.061,1027.278,108.9,76.97
1.59,-998.812,191.155,-97.079,1021.562,116.92,77.89
1.62,-992.807,186.151,-123.1,1017.581,123.48,77.33
1.65,-990.805,209.17,-94.076,1017.004,113.71,75.86
1.68,-1000.813,238.194,-97.079,1033.338,112.17,75.59
1.71,-990.805,221.18,-107.087,1020.825,115.83,76.07
1.73,-1005.817,198.161,-107.087,1030.73,118.39,77.38
1.76,-1009.82,192.156,-96.078,1032.421,116.57,77.99
1.79,-1005.817,216.176,-62.05,1030.655,106.02,77.4
1.82,-1007.819,228.185,-69.056,1035.633,106.84,76.69
1.85,-1003.816,231.188,-84.068,1033.519,111.43,77.09
1.87,-1007.819,205.167,-111.09,1034.472,119.08,76.75
1.9,-999.812,190.155,-123.1,1025.152,122.92,77.23
1.93,-989.804,177.144,-92.075,1009.738,117.46,78.6
1.96,-989.804,188.153,-87.071,1011.284,114.83,78.17
1.98,-987.803,192.156,-101.082,1011.383,117.5,77.42
2.01,-974.792,201.163,-92.075,999.582,114.59,77.21
2.04,-969.788,206.168,-78.063,994.529,110.74,77.19
2.07,-977.794,211.172,-92.075,1004.566,113.56,76.74
2.1,-968.787,208.169,-96.078,995.547,114.78,76.69
2.12,-969.788,211.172,-106.086,998.166,116.67,76.3
2.15,-971.79,210.171,-104.085,999.69,116.35,76.43
2.18,-966.785,207.168,-88.072,992.648,113.75,77.55
2.21,-990.805,183.149,-101.082,1012.648,120.55,77.89
2.24,-982.799,185.15,-106.086,1005.698,119.81,77.75
2.26,-984.8,206.168,-101.082,1011.214,116.12,76.88
2.29,-980.797,218.177,-85.069,1008.365,111.3,76.57
2.32,-991.806,213.173,-59.048,1016.173,105.41,77.48
2.35,-1006.818,218.177,-68.055,1032.432,107.32,77.21
2.38,-993.807,222.181,-68.055,1020.612,107.03,76.84
2.4,-986.802,227.185,-88.072,1016.439,111.19,76.13
2.43,-990.805,229.186,-107.087,1022.589,115.04,75.68
2.46,-999.812,218.177,-114.093,1029.681,117.61,76.17
2.49,-1001.814,226.184,-102.083,1032.091,114.29,76.09
2.51,-1002.815,232.189,-87.071,1033.02,110.16,75.9
2.54,-1000.813,237.193,-117.095,1035.18,115.29,75.31
2.57,-990.805,239.194,-97.079,1023.881,112.09,75.4
2.6,-1005.817,221.18,-79.064,1032.879,109.67,76.86
2.63,-992.807,222.181,-78.063,1020.354,109.36,76.66
2.66,-984.8,216.176,-56.046,1009.804,104.1,76.9
2.68,-991.806,223.181,-61.05,1018.438,105.3,76.87
2.71,-986.802,222.181,-82.067,1014.829,110.27,76.5
2.74,-975.793,204.166,-132.107,1005.638,122.91,76.01
2.77,-976.794,198.161,-129.105,1005.018,123.08,76.39
2.79,-985.801,210.171,-101.082,1013.012,115.69,76.69
2.82,-980.797,212.172,-85.069,1007.083,111.85,76.88
2.85,-972.79,214.174,-80.065,999.301,116.25,76.04
2.88,-975.793,221.18,-100.081,1005.539,114.35,76.03
2.91,-976.794,217.176,-144.117,1010.97,123.57,75.06
2.93,-979.796,195.159,-122.099,1006.477,122.03,76.78
2.96,-991.806,200.163,-91.074,1015.893,114.47,77.5
2.99,-1009.82,201.163,-76.062,1032.468,110.71,77.98
3.02,-1000.813,186.151,-100.081,1022.886,118.26,78.08
3.05,-1000.813,182.148,-108.088,1022.98,120.69,78.05
3.07,-1006.818,193.157,-130.106,1033.402,122.3,77.21
3.1,-997.811,205.167,-118.096,1025.508,119.93,76.65
3.13,-1007.819,203.165,-98.08,1032.761,115.77,77.38
3.16,-1011.822,206.168,-94.076,1036.889,114.53,77.38
3.19,-1008.82,201.163,-94.076,1032.973,111.9,77.8
3.21,-1008.82,210.171,-73.059,1033.067,109.17,77.56
3.24,-1016.826,221.18,-64.052,1042.573,106.15,77.24
3.27,-1009.82,231.188,-62.05,1037.803,105.02,76.66
3.3,-1000.813,216.176,-96.078,1028.392,113.96,76.7
3.32,-994.808,190.155,-119.097,1019.797,122.06,77.29
3.35,-1002.815,192.156,-117.095,1027.751,121.36,77.35
3.38,-992.807,190.155,-108.088,1016.615,120.41,77.84
3.41,-990.805,186.151,-98.08,1012.9,120.14,77.68
3.44,-981.798,193.157,-98.08,1005.413,116.92,77.56
3.47,-974.792,207.168,-84.068,1000.103,112.09,77.08
3.49,-965.785,219.178,-84.068,993.905,110.98,76.34
3.52,-970.789,223.181,-88.072,999.999,112.99,77.63
3.55,-975.793,196.159,-79.064,998.449,111.95,77.77
3.58,-972.79,211.172,-77.063,998.425,110.05,76.99
3.6,-976.794,228.185,-78.063,1006.125,108.89,76.13
3.63,-975.793,221.18,-95.077,1005.053,113.26,76.14
3.66,-976.794,215.175,-101.082,1005.308,115.16,76.32
3.69,-986.802,218.177,-107.087,1016.291,116.14,76.16
3.72,-985.801,211.172,-105.085,1013.627,115.92,76.3
3.74,-986.802,231.188,-148.12,1024.288,115.67,75.43
3.77,-990.805,241.196,-76.062,1022.573,107.5,75.68
3.8,-1004.816,233.189,-58.047,1033.152,103.98,76.55
3.83,-1005.817,220.179,-74.06,1032.294,108.59,77
3.86,-1000.813,200.163,-103.084,1025.826,118.72,77.99
3.88,-1010.821,191.155,-123.1,1036.076,122.78,77.32
3.91,-1012.823,198.161,-124.101,1039.461,122.06,77
3.94,-1005.817,215.175,-120.098,1035.564,119.17,76.23
3.97,-1007.819,215.175,-126.102,1038.22,120.37,76.1
4,-999.812,214.174,-79.064,1025.547,110.26,77.14
4.02,-1003.816,218.177,-60.049,1029.006,105.39,77.3
4.05,-1008.82,207.168,-57.046,1031.45,105.06,78.46
4.08,-988.803,195.159,-79.064,1010.975,112.05,77.98
4.11,-993.807,198.161,-86.07,1017.02,113.48,77.74
4.13,-987.803,176.143,-117.095,1010.194,123.61,77.91
4.16,-978.795,178.145,-124.101,1002.585,124.86,77.49
4.19,-986.802,210.171,-108.088,1014.708,117.22,76.53
4.22,-981.798,222.181,-96.078,1011.198,113.39,76.15
4.25,-978.795,210.171,-123.1,1008.645,122.38,76.78
4.27,-971.79,187.152,-157.128,1002.043,128.17,76.24
4.3,-978.795,184.15,-146.119,1006.629,128.43,76.5
4.33,-975.793,203.165,-98.08,1001.533,115.77,76.98
4.36,-981.798,220.179,-82.067,1009.525,110.44,76.54
4.39,-995.809,231.188,-76.062,1025.119,116.89,76.56
4.41,-984.8,200.163,-113.092,1011.279,119.47,76.86
4.44,-994.808,197.16,-108.088,1019.901,118.73,77.26
4.47,-1003.816,202.164,-102.083,1029.047,116.79,77.29
4.5,-990.805,215.175,-89.072,1017.806,112.49,76.77
4.53,-992.807,227.185,-121.098,1025.643,118.06,75.46
4.55,-986.802,229.186,-111.09,1019.139,115.86,75.53
4.58,-990.805,222.181,-112.091,1021.579,117.63,76.29
4.61,-1004.816,219.178,-94.076,1032.737,108.67,77.03
4.64,-1006.818,217.176,-63.051,1031.903,106.19,77.34
4.67,-995.809,217.176,-98.08,1023.924,114.3,76.54
4.69,-987.803,219.178,-112.091,1018.016,117.09,76.01
4.72,-992.807,232.189,-114.093,1025.96,118.26,75.55
4.75,-987.803,222.181,-116.094,1019.115,117.59,75.76
4.78,-984.8,233.189,-105.085,1017.473,114.26,75.44
4.8,-1000.813,220.179,-94.076,1029.056,113.14,76.55
4.83,-981.798,208.169,-98.08,1008.405,115.23,76.81
4.86,-977.794,201.163,-108.088,1004.107,118.25,76.85
4.89,-972.79,215.175,-93.076,1000.642,113.39,76.45
4.92,-968.787,217.176,-80.065,996.054,110.59,76.77
4.94,-973.791,204.166,-87.071,998.766,116.79,76.78
4.97,-970.789,196.159,-108.088,996.289,118.86,77.01
5,-977.794,204.166,-81.066,1002.166,111.66,77.34
5.03,-984.8,210.171,-67.054,1009.207,107.7,77.37
5.06,-985.801,209.17,-71.058,1010.25,108.52,77.22
5.08,-983.799,208.169,-81.066,1008.844,111.28,77.21
5.11,-988.803,203.165,-99.081,1014.31,116,77.12
5.14,-997.811,194.158,-93.076,1020.777,115.61,77.82
5.17,-997.811,195.159,-94.076,1021.06,115.74,77.75
5.2,-1001.814,200.163,-81.066,1024.826,112.05,77.84
5.22,-1008.82,192.156,-86.07,1030.558,114.13,78.21
5.25,-1010.821,190.155,-87.071,1032.231,114.49,78.15
5.28,-1009.82,201.163,-73.059,1032.251,112.44,77.84
5.31,-1011.822,211.172,-81.066,1036.797,111,77.4
5.34,-1011.822,218.177,-71.058,1037.514,108.04,77.22
5.36,-1009.82,212.172,-62.05,1033.733,106.3,77.65
5.39,-1003.816,203.165,-96.078,1028.666,117.81,78.33
5.42,-995.809,164.133,-111.09,1015.341,124.09,78.74
5.45,-997.811,167.136,-106.086,1017.258,122.4,78.78
5.48,-988.803,177.144,-94.076,1008.941,117.97,78.53
5.5,-983.799,187.152,-82.067,1004.799,113.68,78.27
5.53,-984.8,196.159,-99.081,1009.023,116.8,77.42
5.56,-982.799,190.155,-101.082,1006.116,117.99,77.64
5.59,-983.799,192.156,-95.077,1006.889,115.87,77.54
5.61,-982.799,201.163,-89.072,1007.121,113.88,77.38
5.64,-980.797,205.167,-91.074,1006.156,113.94,77.11
5.67,-984.8,200.163,-92.075,1009.145,114.7,77.39
5.7,-980.797,197.16,-94.076,1004.831,115.51,77.44
5.73,-979.796,200.163,-88.072,1003.903,113.33,77.19
5.75,-983.799,203.165,-108.088,1010.356,118.01,76.83
5.78,-982.799,196.159,-128.104,1010.338,123.15,76.59
5.81,-990.805,196.159,-111.09,1016.127,119.52,77.18
5.84,-998.812,201.163,-84.068,1022.33,112.68,77.69
5.86,-1006.818,199.162,-59.048,1028.025,106.51,78.34
5.89,-1003.816,207.168,-55.045,1026.447,104.88,77.95
5.92,-998.812,216.176,-65.053,1024.006,102.8,77.35
5.95,-1001.814,213.173,-85.069,1027.77,111.76,77.1
5.98,-993.807,207.168,-111.09,1021.231,118.2,76.69
6.01,-1000.813,205.167,-110.089,1027.541,118.22,76.9
6.03,-1001.814,212.172,-104.085,1029.312,116.13,76.73
6.06,-999.812,212.172,-92.075,1026.216,113.46,76.97
6.09,-1008.82,200.163,-108.088,1034.15,118.37,77.29
6.12,-995.809,210.171,-105.085,1023.157,116.67,76.77
6.15,-990.805,225.183,-94.076,1020.418,109.57,76.44
6.17,-990.805,235.191,-75.061,1021.099,107.7,76.01
6.2,-977.794,232.189,-76.062,1007.859,108.14,75.97
6.23,-977.794,233.189,-78.063,1008.243,108.51,75.88
6.26,-977.794,237.193,-79.064,1009.254,108.8,75.65
6.28,-979.796,230.187,-79.064,1009.573,108.96,76.05
6.31,-978.795,215.175,-92.075,1006.389,113.17,76.55
6.34,-973.791,187.152,-115.094,998.269,121.59,77.29
6.37,-971.79,188.153,-112.091,996.163,120.78,77.3
6.4,-973.791,215.175,-97.079,1001.995,114.28,76.37
6.42,-970.789,221.18,-92.075,999.914,112.6,76.14
6.45,-975.793,220.179,-93.076,1004.646,114.94,77.25
6.48,-983.799,204.166,-124.101,1012.396,116.79,76.91
6.51,-983.799,208.169,-80.065,1008.765,111.04,77.23
6.54,-988.803,228.185,-59.048,1016.507,104.51,76.59
6.56,-994.808,226.184,-66.054,1022.333,106.28,76.67
6.59,-994.808,218.177,-80.065,1021.594,126.78,76.13
6.62,-994.808,190.155,-144.117,1023.021,127.16,76.51
6.65,-995.809,201.163,-117.095,1022.65,120.2,76.84
6.68,-1006.818,238.194,-100.081,1039.44,112.79,75.61
6.7,-1007.819,241.196,-93.076,1040.451,111.1,75.61
6.73,-1011.822,226.184,-72.059,1039.296,107.67,76.8
6.76,-1013.824,210.171,-70.057,1037.747,108.43,77.67
6.79,-1013.824,194.158,-82.067,1035.505,114.86,79.1
6.81,-1000.813,170.138,-95.077,1019.614,123.85,78.43
6.84,-996.81,178.145,-121.098,1019.819,124.21,77.81
6.87,-985.801,212.172,-102.083,1013.529,115.69,76.57
6.9,-986.802,219.178,-85.069,1014.423,111.21,76.6
6.93,-987.803,219.178,-67.054,1014.046,106.94,76.95
6.96,-992.807,199.162,-94.076,1016.947,115.28,77.49
6.98,-983.799,181.147,-108.088,1006.16,120.82,77.9
7.01,-990.805,194.158,-104.085,1015,118.19,77.46
7.04,-981.798,199.162,-100.081,1006.781,116.68,77.21
7.07,-985.801,199.162,-98.08,1010.489,116.22,77.31
7.09,-985.801,185.15,-119.097,1010.083,122.75,77.41
7.12,-974.792,180.146,-127.103,999.414,122.55,76.34
7.15,-977.794,212.172,-107.087,1006.264,114.81,76.56
