time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-1033.84,8.007,-97.079,1372.645,163.71,86.26
1.03,-1047.851,19.015,-65.053,1404.45,163.71,86.3
1.06,-1047.851,4.003,-115.094,1371.52,178.01,83.73
1.09,-1044.849,28.023,-163.133,1338.97,170.25,81
1.12,-1041.847,90.073,-144.117,1351.33,147.99,80.74
1.15,-1044.849,136.111,-136.111,1362.549,135,79.53
1.17,-1046.851,120.098,-127.103,1368.309,136.62,80.52
1.2,-1052.855,73.059,-149.121,1355.668,153.9,81.04
1.23,-1069.869,32.026,-149.121,1367.348,158.68,85.29
1.26,-1059.861,66.054,-23.019,1442.97,109.21,86.22
1.29,-1022.831,13.011,-95.077,1365.737,172.21,84.64
1.31,-1012.823,9.007,-161.131,1315.14,176.8,80.95
1.34,-1001.814,10.008,-182.148,1293.296,148.88,82.93
1.37,-992.807,96.078,-99.081,1344.08,135.88,82.09
1.4,-985.801,108.088,-75.061,1356.097,124.78,82.4
1.43,-985.801,62.05,-75.061,1353.206,140.42,84.36
1.45,-988.803,46.037,-90.073,1344.551,152.93,84.16
1.48,-985.801,31.025,-98.08,1336.498,162.45,84.04
1.51,-986.802,29.024,-109.089,1329.791,165.1,83.47
1.54,-995.809,38.031,-86.07,1352.165,156.16,84.6
1.57,-1000.813,61.05,-39.032,1388.817,132.04,85.3
1.59,-1001.814,60.049,-66.054,1370.946,137.73,84.91
1.62,-1006.818,44.036,-58.047,1379.455,142.82,85.86
1.65,-1006.818,46.037,-71.058,1370.67,147.06,85.19
1.68,-1021.83,35.028,-61.05,1388.161,150.07,85.74
1.7,-1032.839,7.006,-57.046,1398.559,173,86.81
1.73,-1045.85,9.007,-12.01,1438.752,143.13,89.18
1.76,-1038.844,22.018,-41.033,1413.966,151.78,87.43
1.79,-1039.845,22.018,-33.027,1420.141,146.31,87.81
1.82,-1054.857,23.019,21.017,1468.24,47.6,88.31
1.85,-1067.868,3.002,15.012,1473.296,11.31,89.18
1.87,-1067.868,7.006,-11.009,1455.505,111.45,88.39
