time_s,Ax_mg,Ay_mg,Az_mg,Aabs_mg,Roll_deg,Pitch_deg
1.01,-957.778,85.069,-36.029,1361.549,115.64,85.01
1.03,-958.779,81.066,-41.033,1358.472,116.85,84.59
1.06,-965.785,89.072,-35.028,1368.154,111.47,84.34
1.09,-984.8,133.108,16.013,1421.208,83.14,82.25
1.12,-988.803,129.105,23.019,1428.624,79.89,82.45
1.15,-1014.825,119.097,29.024,1450.153,76.3,83.11
1.17,-1025.833,110.089,8.006,1442.405,85.84,83.86
1.2,-1034.841,134.109,14.011,1455.026,78.23,81.97
1.23,-1047.851,185.15,24.02,1476.783,82.61,79.9
1.26,-1042.847,194.158,-31.025,1436.711,99.08,79.32
1.29,-1048.852,146.119,-43.035,1427.313,106.41,81.74
1.31,-1053.856,106.086,-44.036,1426.792,112.54,83.78
1.34,-1047.851,146.119,-35.028,1431.961,103.48,81.84
1.37,-1036.842,156.127,-31.025,1427.701,101.24,81.27
1.4,-1031.838,163.133,-45.037,1415.365,105.34,80.63
1.43,-1015.825,181.147,-58.047,1397.137,103.66,79.6
1.46,-1006.818,185.15,-49.04,1397.243,104.83,79.23
1.48,-998.812,170.138,-49.04,1389.567,106.08,79.95
1.51,-1001.814,154.125,-50.041,1389.176,107.99,80.81
1.54,-993.807,152.124,-69.056,1370.201,112.33,79.5
1.57,-982.799,180.146,-38.031,1386.986,101.92,79.39
1.59,-979.796,184.15,-24.02,1395.152,97.43,79.27
1.62,-968.787,192.156,-38.031,1378.716,101.2,78.57
1.65,-964.784,213.173,-34.028,1381.794,99.07,77.39
1.68,-967.786,198.161,-11.009,1397.849,93.18,78.41
1.71,-960.781,190.155,-5.004,1396.164,91.51,78.8
1.73,-969.788,185.15,-31.025,1383.359,100.58,80.26
1.76,-981.798,169.137,-20.016,1397.463,91.69,80.22
1.79,-975.793,168.137,-21.017,1392.426,97.13,80.15
1.82,-979.796,183.149,-41.033,1383.171,102.63,79.16
1.85,-983.799,167.136,-31.025,1390.938,100.52,80.2
1.87,-993.807,137.111,2.002,1417.907,89.16,82.24
1.9,-1009.82,135.11,14.011,1437.432,84.08,82.34
1.93,-1016.826,142.115,17.014,1445.147,83.17,81.99
1.96,-1027.835,162.132,13.011,1452.213,85.41,81.01
1.99,-1024.833,171.139,28.023,1461.643,80.7,80.4
2.01,-1028.836,174.141,45.036,1476.797,75.5,80.08
2.04,-1031.838,165.134,22.018,1461.67,82.41,80.83
2.07,-1037.843,162.132,23.019,1466.279,77.78,81.13
2.1,-1027.835,148.12,18.015,1454.214,83.07,81.74
2.13,-1031.838,137.111,4.003,1446.206,88.33,82.43
2.15,-1031.838,130.106,-18.015,1430.354,97.88,82.75
2.18,-1032.839,140.114,-13.011,1435.457,95.31,82.24
2.21,-1035.842,145.118,-30.024,1426.492,101.69,81.86
2.24,-1035.842,148.12,-4.003,1444.617,91.55,81.86
2.27,-1029.837,146.119,28.023,1462.445,79.22,81.62
2.29,-1019.829,162.132,91.074,1502.258,55.82,79.12
2.32,-1021.83,169.137,128.104,1531.458,52.86,78.27
2.35,-999.812,136.111,39.032,1448.357,74,81.94
2.38,-984.8,129.105,-18.015,1396.708,97.94,82.46
2.41,-981.798,143.116,-61.05,1366.03,112.82,80.82
2.43,-973.791,135.11,-6.005,1398.052,92.54,82.09
2.46,-980.797,121.098,-14.011,1395.995,96.6,82.91
2.49,-975.793,108.088,-49.04,1366.814,114.4,83.06
2.52,-976.794,115.094,-32.026,1379.98,105.55,83.03
2.55,-976.794,171.139,31.025,1430.534,79.72,79.9
2.57,-980.797,170.138,14.011,1420.96,85.29,80.13
2.6,-987.803,124.101,2.002,1412.502,89.08,82.84
2.63,-980.797,133.108,-22.018,1391.449,99.39,82.17
2.66,-985.801,141.115,-19.015,1397.873,97.67,81.78
2.68,-994.808,171.139,-8.007,1415.268,92.68,80.23
2.71,-994.808,163.133,-10.008,1412.919,93.51,80.67
2.74,-1011.822,164.133,13.011,1441.15,85.47,80.76
2.77,-1010.821,157.128,-4.003,1427.746,91.46,81.16
2.8,-1016.826,138.112,-28.023,1413.418,100.3,81.24
2.83,-1028.836,172.14,-50.041,1410.871,102.14,80.29
2.85,-1036.842,184.15,2.002,1453.603,89.38,79.93
2.88,-1041.847,168.137,13.011,1462.841,85.58,80.81
2.91,-1045.85,154.125,0,1455.183,90,81.62
2.94,-1051.855,128.104,-3.002,1454.927,75.57,82.47
2.96,-1051.855,140.114,26.021,1476.059,79.48,82.28
2.99,-1041.847,147.12,40.032,1479.444,74.78,81.67
3.02,-1030.838,146.119,33.027,1466.67,77.26,81.73
3.05,-1030.838,139.113,28.023,1462.467,78.61,82.16
3.08,-1019.829,153.124,7.006,1441.374,87.38,81.45
3.1,-1015.825,156.127,39.032,1461.459,75.96,81
3.13,-1001.814,153.124,44.036,1455.022,75.57,79.99
3.16,-985.801,168.137,45.036,1446.435,76.29,80.04
3.19,-979.796,158.128,42.034,1439.041,75.11,80.52
3.22,-971.79,143.116,30.024,1423.309,78.15,81.44
3.25,-965.785,151.123,24.02,1415.696,80.97,81
3.27,-964.784,133.108,37.03,1422.659,74.45,81.89
3.3,-970.789,138.112,58.047,1442.557,67.2,81.23
3.33,-962.782,144.117,76.062,1451.078,62.18,80.39
3.36,-973.791,148.12,94.076,1472.145,57.58,79.79
3.38,-974.792,156.127,70.057,1455.89,65.83,80.04
3.41,-973.791,146.119,2.002,1404.858,89.22,81.47
3.44,-978.795,132.107,-14.011,1395.588,96.05,82.27
3.47,-985.801,146.119,7.006,1416.762,76.14,81.07
3.5,-993.807,155.126,12.01,1426.843,85.57,81.1
3.52,-1003.816,147.12,10.008,1431.575,86.11,81.64
3.55,-1012.823,160.13,30.024,1453.411,79.38,80.86
3.58,-1018.828,160.13,39.032,1463.98,76.3,80.81
3.61,-1032.839,147.12,45.036,1476.652,72.98,81.53
3.64,-1033.84,132.107,-1.001,1443.703,90.43,82.72
3.66,-1044.849,130.106,11.009,1459.718,85.38,82.55
3.69,-1048.852,154.125,5.004,1460.78,85.91,81.62
3.72,-1056.859,145.118,9.007,1468.368,86.45,82.17
3.75,-1057.859,128.104,-1.001,1460.643,90.45,83.1
3.78,-1055.858,133.108,17.014,1472.029,82.72,82.76
3.8,-1043.848,131.107,51.041,1487.11,71.57,81.26
3.83,-1048.852,139.113,57.046,1495.59,67.7,81.84
3.86,-1045.85,125.102,56.046,1491.538,65.87,82.53
3.89,-1040.846,134.109,19.015,1462.784,81.93,82.59
3.92,-1035.842,139.113,14.011,1456.207,84.25,82.31
3.94,-1019.829,147.12,15.012,1446.355,84.17,81.75
3.97,-1007.819,129.105,3.002,1427.719,88.67,82.7
4,-1003.816,124.101,8.006,1427.979,86.94,82.52
4.03,-975.793,130.106,33.027,1426.97,75.76,82.17
4.06,-968.787,122.099,36.029,1423.662,73.56,82.51
4.08,-968.787,140.114,50.041,1435.537,70.35,81.27
4.11,-960.781,126.102,46.037,1425.902,69.94,82.05
