config,GroupCount,mean_Aabs_std,std_Aabs_std,mean_Ax_std,std_Ax_std,mean_Ay_std,std_Ay_std,mean_Az_std,std_Az_std,mean_roll_std,std_roll_std,mean_pitch_std,std_pitch_std,mean_fdom_Aabs,std_fdom_Aabs
n0_n0,3,11.7022435025588,0.547636531176936,37.5254007732948,2.37048879139305,33.3586214710712,1.73781768813845,12.9990726360282,0.487782510296679,1.93724633880252,0.102256069451869,2.18128521182343,0.137932130727254,1.33304280708795,0.0184642837049942
n0_n1,1,11.875952189325,0,34.7599840998653,0,35.0717850685028,0,12.7520966237008,0,2.03851364910021,0,2.01564439938089,0,1.40458995058473,0
n1_0_off,3,12.968128630338,0.660219219560352,21.457658814331,1.89406691245655,22.6683068571837,1.5679977044305,13.2797935377629,0.514291645349844,1.33601251248147,0.0894819988249669,1.25499213637203,0.112206480883222,1.38669813187829,0.0829480418482241
n1_n0,4,46.127085241515,10.249483382395,45.7703264313839,9.18334639290195,46.9017604011846,5.16262156425139,38.4702014972818,13.0359036131309,2.71064712431143,0.306014311849416,2.66494457317145,0.560060788740798,1.27556049001535,0.0534873758762288
n1_n1,4,17.0616758931214,0.985236552400183,27.515804660067,2.29365467391175,29.6645761225953,3.3069443366554,12.9677851068687,0.557425137758736,1.72493848193844,0.19033461595666,1.61206777376621,0.132874818257423,1.36336778485675,0.0517251131805671
n1_n1_off,4,12.3028805642741,0.325373125214468,13.0369331278298,1.01188373598812,14.2078866833508,0.881525195474251,12.0116985299746,0.329943026670714,0.838146880911373,0.0531315517668224,0.757173183063332,0.060950233595765,1.40863558870047,0.00763041271825273
