time_s,pressure_Pa
0,248.82
0.102,246.71
0.201,250.92
0.303,244.61
0.401,250.92
0.504,246.71
0.606,253.02
0.705,248.82
0.807,253.02
0.905,248.82
1.008,250.92
1.106,248.82
1.208,253.02
1.311,248.82
1.409,253.02
1.511,248.82
1.61,248.82
1.712,253.02
1.814,250.92
1.913,253.02
2.015,250.92
2.114,253.02
2.216,248.82
2.318,255.13
2.417,255.13
2.519,248.82
2.617,255.13
2.72,250.92
2.822,253.02
2.92,250.92
3.023,255.13
3.121,250.92
3.223,255.13
3.326,250.92
3.424,255.13
3.526,248.82
3.625,255.13
3.727,250.92
3.83,253.02
3.928,248.82
4.03,253.02
4.129,248.82
4.231,255.13
4.333,246.71
4.432,255.13
4.534,250.92
4.632,255.13
4.735,250.92
4.837,255.13
4.936,250.92
5.038,255.13
5.136,253.02
5.239,258.28
5.337,253.02
5.439,258.28
5.542,253.02
5.64,258.28
5.742,253.02
5.841,255.13
5.943,260.39
6.046,253.02
6.144,260.39
6.246,253.02
6.345,260.39
6.447,253.02
6.549,260.39
6.648,255.13
6.75,260.39
6.848,255.13
6.951,260.39
7.053,255.13
7.151,260.39
7.254,260.39
7.352,255.13
7.455,260.39
7.557,255.13
7.655,260.39
7.758,255.13
7.856,262.49
7.958,255.13
8.061,260.39
8.159,255.13
8.261,260.39
8.36,258.28
8.462,260.39
8.564,260.39
8.663,255.13
8.765,262.49
8.864,258.28
8.966,262.49
9.068,258.28
9.167,262.49
9.269,258.28
9.367,262.49
9.47,255.13
9.568,262.49
9.67,255.13
9.773,260.39
9.871,255.13
9.974,258.28
10.072,253.02
10.174,258.28
10.277,250.92
10.375,253.02
10.477,258.28
10.576,250.92
10.678,255.13
10.78,248.82
10.879,255.13
10.981,248.82
11.079,253.02
11.182,248.82
11.284,255.13
11.382,246.71
11.485,253.02
11.583,248.82
11.685,255.13
11.788,248.82
11.886,255.13
11.989,250.92
12.087,253.02
12.189,250.92
12.292,255.13
12.39,246.71
12.492,255.13
12.591,248.82
12.693,255.13
12.795,250.92
12.894,248.82
12.996,255.13
13.094,250.92
13.197,253.02
13.299,246.71
13.397,253.02
13.5,248.82
13.598,253.02
13.701,248.82
13.799,253.02
13.901,250.92
14.004,253.02
14.102,246.71
14.205,255.13
14.303,248.82
14.405,253.02
14.508,246.71
14.606,255.13
14.708,250.92
14.807,255.13
14.909,246.71
15.011,255.13
15.11,248.82
15.212,255.13
15.31,246.71
15.413,253.02
15.515,248.82
15.614,253.02
15.716,250.92
15.814,255.13
15.916,246.71
16.019,253.02
16.117,248.82
16.22,253.02
16.318,250.92
16.42,253.02
16.523,250.92
16.622,253.02
16.723,248.82
16.822,253.02
16.924,248.82
17.026,253.02
17.125,250.92
17.227,250.92
17.326,250.92
17.428,250.92
17.53,250.92
17.629,253.02
17.731,250.92
17.83,255.13
17.932,253.02
18.03,258.28
18.132,253.02
18.235,255.13
18.333,253.02
18.435,255.13
18.534,258.28
18.636,248.82
18.739,258.28
18.837,248.82
18.939,258.28
19.038,250.92
19.14,258.28
19.242,253.02
19.341,260.39
19.443,253.02
19.541,260.39
19.644,253.02
19.746,260.39
19.844,253.02
19.947,260.39
20.045,253.02
20.148,260.39
20.25,253.02
20.348,260.39
20.451,255.13
20.549,262.49
20.651,255.13
20.754,260.39
20.852,255.13
20.954,262.49
21.053,250.92
21.155,258.28
21.258,253.02
21.356,258.28
21.458,258.28
21.557,260.39
21.659,255.13
21.761,260.39
21.86,255.13
21.962,260.39
22.06,255.13
22.163,260.39
22.261,258.28
22.363,258.28
22.466,253.02
22.564,260.39
22.666,258.28
22.765,260.39
22.867,258.28
22.97,260.39
23.068,255.13
23.17,258.28
23.269,260.39
23.371,260.39
23.473,258.28
23.572,260.39
23.674,255.13
23.772,260.39
23.875,258.28
23.977,260.39
24.076,260.39
24.178,255.13
24.276,262.49
24.379,255.13
24.481,262.49
24.579,255.13
24.682,262.49
24.78,255.13
24.882,262.49
24.985,255.13
25.083,262.49
25.185,255.13
25.284,262.49
25.386,255.13
25.488,260.39
25.587,253.02
25.689,264.6
25.788,258.28
25.89,264.6
25.992,258.28
26.091,262.49
26.193,253.02
26.291,264.6
26.394,258.28
26.492,264.6
26.594,255.13
26.697,262.49
26.795,258.28
26.897,264.6
26.996,258.28
27.098,262.49
27.2,260.39
27.299,262.49
27.401,258.28
27.5,262.49
27.602,260.39
27.704,260.39
27.803,258.28
27.905,262.49
28.003,258.28
28.106,264.6
28.208,258.28
28.307,264.6
28.409,262.49
28.507,264.6
28.61,260.39
28.712,264.6
28.81,258.28
28.913,264.6
29.011,260.39
29.113,262.49
29.216,260.39
29.314,262.49
29.416,260.39
29.515,264.6
29.617,262.49
29.72,262.49
29.818,264.6
29.92,258.28
30.019,266.7
30.121,255.13
30.223,266.7
30.322,255.13
30.424,266.7
30.522,260.39
30.625,264.6
30.727,260.39
30.825,266.7
30.928,258.28
31.026,266.7
31.129,260.39
31.227,269.86
31.329,260.39
31.432,266.7
31.53,258.28
31.632,266.7
31.731,258.28
31.833,266.7
31.935,260.39
32.034,266.7
32.136,260.39
32.234,269.86
32.337,260.39
32.439,266.7
32.537,260.39
32.64,264.6
32.738,262.49
32.841,266.7
32.943,262.49
33.041,264.6
33.144,264.6
33.242,264.6
33.344,262.49
33.447,264.6
33.545,260.39
33.647,264.6
33.746,262.49
33.848,266.7
33.951,262.49
34.049,264.6
34.151,262.49
34.25,264.6
34.352,262.49
34.454,264.6
34.553,262.49
34.655,264.6
34.753,262.49
34.856,264.6
34.958,262.49
35.056,264.6
35.159,260.39
35.257,264.6
35.36,262.49
35.458,260.39
35.56,266.7
35.663,258.28
35.761,264.6
35.863,258.28
35.962,266.7
36.064,260.39
36.166,264.6
36.265,255.13
36.367,266.7
36.465,258.28
36.568,262.49
36.67,258.28
36.769,264.6
36.871,255.13
36.969,266.7
37.072,258.28
37.174,264.6
37.272,258.28
37.375,264.6
37.473,258.28
37.575,264.6
37.678,258.28
37.776,264.6
37.879,258.28
37.977,264.6
38.079,258.28
38.182,264.6
38.28,260.39
38.382,264.6
38.481,260.39
38.583,262.49
38.685,258.28
38.784,264.6
38.886,262.49
38.984,260.39
39.087,264.6
39.189,260.39
39.288,264.6
39.39,260.39
39.488,262.49
39.59,260.39
39.689,264.6
39.791,258.28
39.893,262.49
39.992,260.39
40.094,264.6
40.193,258.28
40.295,264.6
40.397,260.39
40.496,262.49
40.598,260.39
40.697,264.6
40.799,260.39
40.901,264.6
41,260.39
41.102,258.28
41.201,262.49
41.302,258.28
41.405,262.49
41.503,260.39
41.606,262.49
41.704,258.28
41.806,262.49
41.909,258.28
42.007,260.39
42.109,260.39
42.208,262.49
42.31,258.28
42.413,262.49
42.511,258.28
42.613,262.49
42.712,258.28
42.814,262.49
42.916,258.28
43.015,262.49
43.117,258.28
43.215,262.49
43.318,258.28
43.42,262.49
43.518,258.28
43.621,262.49
43.719,258.28
43.821,260.39
43.924,253.02
44.022,262.49
44.124,258.28
44.223,258.28
44.325,262.49
44.423,255.13
44.526,262.49
44.628,258.28
44.727,262.49
44.829,258.28
44.927,262.49
45.03,258.28
45.132,262.49
45.231,258.28
45.333,260.39
45.431,258.28
45.534,262.49
45.636,258.28
45.734,260.39
45.837,255.13
45.935,262.49
46.037,258.28
46.14,262.49
46.238,255.13
46.34,262.49
46.439,255.13
46.541,262.49
46.644,258.28
46.742,262.49
46.844,262.49
46.943,255.13
47.045,260.39
47.147,258.28
47.246,260.39
47.348,255.13
47.447,262.49
47.549,258.28
47.651,262.49
47.749,255.13
47.852,262.49
47.95,258.28
48.053,262.49
48.155,258.28
48.253,262.49
48.356,258.28
48.454,262.49
48.556,258.28
48.655,262.49
48.757,258.28
48.859,260.39
48.958,258.28
49.06,260.39
49.158,258.28
49.261,262.49
49.363,258.28
49.462,262.49
49.564,255.13
49.662,262.49
49.765,258.28
49.867,262.49
49.965,258.28
50.068,262.49
50.166,258.28
50.268,262.49
50.371,260.39
50.469,262.49
50.571,255.13
50.67,262.49
50.772,260.39
50.874,264.6
50.973,255.13
51.075,262.49
51.174,258.28
51.276,264.6
51.378,260.39
51.477,264.6
51.579,258.28
51.677,262.49
51.78,258.28
51.882,264.6
51.98,260.39
52.083,264.6
52.181,260.39
52.283,262.49
52.386,260.39
52.484,258.28
52.587,264.6
52.685,258.28
52.787,262.49
52.886,258.28
52.988,264.6
53.09,260.39
53.189,264.6
53.291,258.28
53.389,264.6
53.492,258.28
53.594,264.6
53.693,258.28
53.795,264.6
53.893,260.39
53.996,264.6
54.098,260.39
54.196,264.6
54.299,260.39
54.397,264.6
54.499,260.39
54.602,266.7
54.7,258.28
54.803,264.6
54.901,260.39
55.003,264.6
55.105,258.28
55.204,262.49
55.306,258.28
55.405,266.7
55.507,260.39
55.609,266.7
55.708,262.49
55.81,264.6
55.908,258.28
56.011,264.6
56.113,262.49
56.212,266.7
56.314,262.49
56.412,266.7
