time_s,pressure_Pa
0,421.36
0.102,412.94
0.205,421.36
0.303,415.04
0.405,424.51
0.504,417.15
0.606,426.62
0.708,419.25
0.807,426.62
0.909,419.25
1.007,428.72
1.11,421.36
1.212,428.72
1.31,421.36
1.413,426.62
1.511,421.36
1.614,424.51
1.712,421.36
1.814,426.62
1.917,421.36
2.015,424.51
2.117,421.36
2.216,426.62
2.318,424.51
2.42,424.51
2.519,421.36
2.622,428.72
2.719,421.36
2.822,424.51
2.924,424.51
3.023,428.72
3.125,421.36
3.223,428.72
3.326,421.36
3.428,426.62
3.526,424.51
3.629,428.72
3.727,424.51
3.829,428.72
3.932,426.62
4.03,424.51
4.132,431.88
4.231,426.62
4.333,431.88
4.436,424.51
4.534,431.88
4.636,424.51
4.735,430.82
4.837,419.25
4.939,430.82
5.038,419.25
5.14,428.72
5.238,419.25
5.344,424.51
5.439,419.25
5.541,426.62
5.644,417.15
5.742,421.36
5.845,417.15
5.943,421.36
6.045,417.15
6.148,419.25
6.246,415.04
6.348,424.51
6.447,412.94
6.549,419.25
6.651,412.94
6.75,419.25
6.852,415.04
6.951,419.25
7.053,410.83
7.155,415.04
7.254,410.83
7.356,417.15
7.454,412.94
7.557,415.04
7.659,407.68
7.757,417.15
7.86,407.68
7.958,407.68
8.06,405.57
8.163,415.04
8.261,407.68
8.364,415.04
8.462,407.68
8.564,417.15
8.663,407.68
8.765,412.94
8.867,405.57
8.966,407.68
9.068,403.47
9.166,407.68
9.269,403.47
9.371,405.57
9.469,401.37
9.572,399.26
9.67,405.57
9.773,401.37
9.875,405.57
9.973,401.37
10.076,407.68
10.174,399.26
10.276,401.37
10.379,407.68
10.477,401.37
10.579,405.57
10.678,399.26
10.78,407.68
10.882,401.37
10.981,407.68
11.083,399.26
11.182,407.68
11.284,401.37
11.386,405.57
11.485,401.37
11.587,410.83
11.685,401.37
11.788,407.68
11.886,401.37
11.988,410.83
12.091,401.37
12.189,410.83
12.291,401.37
12.39,405.57
12.492,401.37
12.595,407.68
12.693,401.37
12.795,412.94
12.894,405.57
12.996,412.94
13.098,405.57
13.197,415.04
13.299,407.68
13.397,407.68
13.5,405.57
13.602,412.94
13.701,405.57
13.803,412.94
13.901,407.68
14.003,412.94
14.106,407.68
14.204,417.15
14.307,412.94
14.405,415.04
14.507,410.83
14.61,417.15
14.709,412.94
14.81,417.15
14.909,412.94
15.011,421.36
15.113,421.36
15.212,415.04
15.314,421.36
15.412,417.15
15.515,424.51
15.613,417.15
15.716,424.51
15.818,417.15
15.916,421.36
16.019,417.15
16.117,424.51
16.219,419.25
16.322,421.36
16.42,415.04
16.522,421.36
16.621,415.04
16.723,421.36
16.826,412.94
16.924,417.15
17.026,415.04
17.125,417.15
17.227,415.04
17.329,417.15
17.428,407.68
17.53,417.15
17.628,407.68
17.731,417.15
17.833,407.68
17.931,412.94
18.034,405.57
18.132,415.04
18.235,405.57
18.337,412.94
18.435,403.47
18.538,407.68
18.636,403.47
18.738,407.68
18.837,403.47
18.939,407.68
19.041,403.47
19.14,410.83
19.242,401.37
19.34,407.68
19.443,401.37
19.545,405.57
19.643,401.37
19.746,405.57
19.844,401.37
19.946,407.68
20.049,399.26
20.147,405.57
20.25,401.37
20.348,403.47
20.45,399.26
20.553,401.37
20.651,401.37
20.753,396.11
20.852,403.47
20.954,399.26
21.057,403.47
21.155,399.26
21.257,399.26
21.366,394
21.458,401.37
21.56,391.9
21.659,399.26
21.761,394
21.859,399.26
21.962,389.79
22.06,399.26
22.162,391.9
22.265,399.26
22.363,389.79
22.465,396.11
22.564,389.79
22.666,394
22.769,391.9
22.867,391.9
22.969,387.69
23.068,394
23.17,387.69
23.272,391.9
23.371,387.69
23.473,394
23.571,387.69
23.674,394
23.776,387.69
23.874,394
23.977,385.58
24.075,391.9
24.178,387.69
24.28,389.79
24.378,385.58
24.481,387.69
24.579,385.58
24.686,389.79
24.784,387.69
24.882,391.9
24.984,385.58
25.083,391.9
25.185,385.58
25.284,394
25.386,387.69
25.488,394
25.587,385.58
25.689,394
25.787,387.69
25.89,394
25.992,389.79
26.09,394
26.193,394
26.291,385.58
26.393,394
26.496,387.69
26.594,394
26.696,387.69
26.795,394
26.898,387.69
27,394
27.098,385.58
27.2,389.79
27.299,387.69
27.402,389.79
27.503,385.58
27.602,389.79
27.704,387.69
27.802,391.9
27.905,385.58
28.007,389.79
28.106,385.58
28.208,389.79
28.306,385.58
28.409,391.9
28.507,382.43
28.609,387.69
28.712,385.58
28.81,389.79
28.912,382.43
29.011,389.79
29.113,381.38
29.215,389.79
29.314,382.43
29.416,387.69
29.514,382.43
29.617,387.69
29.719,385.58
29.817,387.69
29.92,382.43
30.018,387.69
30.121,381.38
30.223,389.79
30.321,382.43
30.424,385.58
30.522,381.38
30.624,387.69
30.727,381.38
30.825,387.69
30.927,382.43
31.026,385.58
31.128,382.43
31.231,385.58
31.329,381.38
31.431,385.58
31.53,381.38
31.632,387.69
31.73,387.69
31.833,379.27
31.935,379.27
32.033,385.58
32.136,379.27
32.234,387.69
